sampler,mcmc_iter,n_sim,mean_tau,sd_tau,q05_tau,q95_tau,bias,abs_bias,se_tau,mean_tau_diff_mcmc_minus_mc
mcmc,5,1,0.9061372816430635,,0.9061372816430635,0.9061372816430635,-0.09386271835693649,0.09386271835693649,,0.1311504502271319
mcmc,10,1,0.9275501557177526,,0.9275501557177526,0.9275501557177526,-0.07244984428224743,0.07244984428224743,,0.13610921078065086
monte_carlo,5,1,0.7749868314159316,,0.7749868314159316,0.7749868314159316,-0.2250131685840684,0.2250131685840684,,0.1311504502271319
monte_carlo,10,1,0.7914409449371017,,0.7914409449371017,0.7914409449371017,-0.2085590550628983,0.2085590550628983,,0.13610921078065086
