beta,n_reps,mean_tau_hat,se_tau_hat,mean_abs_bias,se_abs_bias,mean_g0_gap,se_g0_gap,mean_x_gap,se_x_gap,mean_tau_hat_NN,mean_abs_bias_NN,mean_g0_gap_NN,mean_x_gap_NN,mean_distance_to_NN,se_distance_to_NN,n,n_mcmc,mu,seed
0,5,0.9409161320307413,0.08983109218646028,0.16629969960271757,0.04503835548702906,0.014019207314740715,0.003548084597675296,0.22393951712985313,0.0548659922907587,0.8019654587247478,0.31435522273512895,0.005796241789040242,0.07095552394104174,0.1480555231324114,0.0488826982174842,100,20,0.3,12345
1,5,0.9751370981072831,0.09394016195438752,0.17437822838713812,0.03711271166041423,0.013833795915647679,0.002844416706639855,0.2084930567956397,0.03904103362170327,0.8019654587247478,0.31435522273512895,0.005796241789040242,0.07095552394104174,0.17417814201955412,0.07531076308089818,100,20,0.3,12345
10,5,0.889146869319366,0.10618848732331303,0.22267319193955842,0.04418440203623879,0.007549559762613107,0.0015207131248543308,0.09818617358439465,0.01516282586583583,0.8019654587247478,0.31435522273512895,0.005796241789040242,0.07095552394104174,0.10801309841500681,0.039989844787092305,100,20,0.3,12345
100,5,0.7975078356237567,0.14717658239279044,0.3371790810368074,0.0590701480534731,0.006268143746288197,0.001127765778424542,0.07815712863111476,0.011420463607506854,0.8019654587247478,0.31435522273512895,0.005796241789040242,0.07095552394104174,0.03385050048001663,0.010382237226053534,100,20,0.3,12345
200,5,0.7900352867536751,0.14315806299143968,0.332595412877684,0.062133718984095906,0.006314232733604685,0.0011508108794573957,0.07894841309293862,0.011698326562663189,0.8019654587247478,0.31435522273512895,0.005796241789040242,0.07095552394104174,0.02882885869106473,0.011868913304577858,100,20,0.3,12345
