rep,beta,tau_hat,abs_bias,g0_gap,x_gap,tau_hat_NN,abs_bias_NN,g0_gap_NN,x_gap_NN,distance_to_NN,n,n_mcmc,mu,seed
1,0,0.8684519917377103,0.13154800826228974,0.026112339477486545,0.4299469890904096,0.7943679050765,0.2056320949235,0.006409083227745901,0.05466336219467213,0.07408408666121025,100,20,0.3,12345
1,1,0.7918516484839533,0.20814835151604671,0.02397449733071433,0.35692955806965654,0.7943679050765,0.2056320949235,0.006409083227745901,0.05466336219467213,0.0025162565925467284,100,20,0.3,12345
1,10,0.7535402360279094,0.24645976397209057,0.011913565011199192,0.13689198759992866,0.7943679050765,0.2056320949235,0.006409083227745901,0.05466336219467213,0.04082766904859059,100,20,0.3,12345
1,100,0.7264547011204681,0.27354529887953194,0.008617534134645338,0.08451726564092628,0.7943679050765,0.2056320949235,0.006409083227745901,0.05466336219467213,0.06791320395603195,100,20,0.3,12345
1,200,0.7202742267907931,0.2797257732092069,0.008952038469545082,0.08858471869077002,0.7943679050765,0.2056320949235,0.006409083227745901,0.05466336219467213,0.0740936782857069,100,20,0.3,12345
2,0,1.2680395790836472,0.2680395790836472,0.008641512591414132,0.11932067641407904,1.290801703649692,0.29080170364969193,0.004579553482400319,0.07727919434909884,0.02276212456604476,100,20,0.3,12345
2,1,1.2938258076841291,0.29382580768412914,0.009997382108565045,0.1323883499295225,1.290801703649692,0.29080170364969193,0.004579553482400319,0.07727919434909884,0.0030241040344372028,100,20,0.3,12345
2,10,1.2795501531473112,0.27955015314731124,0.0050247813166644905,0.07765979432622601,1.290801703649692,0.29080170364969193,0.004579553482400319,0.07727919434909884,0.011251550502380692,100,20,0.3,12345
2,100,1.3367172916514103,0.3367172916514103,0.004422668752269232,0.0740354106629483,1.290801703649692,0.29080170364969193,0.004579553482400319,0.07727919434909884,0.045915588001718355,100,20,0.3,12345
2,200,1.3065767490783977,0.3065767490783977,0.004547939089705028,0.0768628809838475,1.290801703649692,0.29080170364969193,0.004579553482400319,0.07727919434909884,0.01577504542870578,100,20,0.3,12345
3,0,0.8279205790384582,0.17207942096154183,0.01289455383262115,0.1957502136290034,0.5636380111633134,0.43636198883668664,0.009219421461828503,0.11547374366728506,0.2642825678751448,100,20,0.3,12345
3,1,0.8276753938443526,0.17232460615564738,0.012150072813134953,0.1903721879409776,0.5636380111633134,0.43636198883668664,0.009219421461828503,0.11547374366728506,0.26403738268103927,100,20,0.3,12345
3,10,0.752002491661186,0.24799750833881395,0.009289382062250572,0.13223423666071693,0.5636380111633134,0.43636198883668664,0.009219421461828503,0.11547374366728506,0.1883644804978727,100,20,0.3,12345
3,100,0.552601476281056,0.44739852371894395,0.009149545831500088,0.11863307686621258,0.5636380111633134,0.43636198883668664,0.009219421461828503,0.11547374366728506,0.01103653488225731,100,20,0.3,12345
3,200,0.5411647569398281,0.45883524306017187,0.009100909476561742,0.11819678293338436,0.5636380111633134,0.43636198883668664,0.009219421461828503,0.11547374366728506,0.02247325422348523,100,20,0.3,12345
4,0,0.7553467358555889,0.24465326414441113,0.01668830809017325,0.22825228560891567,0.4962604792877553,0.5037395207122447,0.0051714013253523206,0.049802264733587016,0.2590862565678336,100,20,0.3,12345
4,1,0.8823701319720568,0.11762986802794317,0.015444769856466834,0.20213544565061498,0.4962604792877553,0.5037395207122447,0.0051714013253523206,0.049802264733587016,0.38610965268430153,100,20,0.3,12345
4,10,0.7099330158904458,0.2900669841095542,0.008147559271952053,0.08089362403228494,0.4962604792877553,0.5037395207122447,0.0051714013253523206,0.049802264733587016,0.21367253660269048,100,20,0.3,12345
4,100,0.5238270847336008,0.47617291526639915,0.005688821135882693,0.05628085590668495,0.4962604792877553,0.5037395207122447,0.0051714013253523206,0.049802264733587016,0.02756660544584555,100,20,0.3,12345
4,200,0.5227321506590294,0.47726784934097055,0.005473258051391117,0.05408347214449281,0.4962604792877553,0.5037395207122447,0.0051714013253523206,0.049802264733587016,0.026471671371274152,100,20,0.3,12345
5,0,0.9848217744383021,0.0151782255616979,0.005759322582008492,0.14642742090685798,0.8647591944464784,0.13524080555352158,0.0036017494478741696,0.05755905476056563,0.12006257999182368,100,20,0.3,12345
5,1,1.0799625085519242,0.07996250855192422,0.00760225746935724,0.1606397423874269,0.8647591944464784,0.13524080555352158,0.0036017494478741696,0.05755905476056563,0.2152033141054458,100,20,0.3,12345
5,10,0.950708449869978,0.049291550130021955,0.003372511150999226,0.06325122530281668,0.8647591944464784,0.13524080555352158,0.0036017494478741696,0.05755905476056563,0.08594925542349963,100,20,0.3,12345
5,100,0.8479386243322484,0.15206137566775157,0.00346214887714364,0.0573190340788017,0.8647591944464784,0.13524080555352158,0.0036017494478741696,0.05755905476056563,0.016820570114229993,100,20,0.3,12345
5,200,0.8594285503003268,0.14057144969967317,0.0034970185808204596,0.057014210712198435,0.8647591944464784,0.13524080555352158,0.0036017494478741696,0.05755905476056563,0.005330644146151586,100,20,0.3,12345
