sampler,mcmc_iter,n_sim,mean_tau,sd_tau,q05_tau,q95_tau,bias,abs_bias,se_tau,mean_tau_diff_mcmc_minus_mc
mcmc,10,3,1.121198056108405,0.20190200351789664,0.9453546600327467,1.3079634522525607,0.12119805610840495,0.12119805610840495,0.1165681760809824,0.056723477591638094
mcmc,20,3,1.1463076758636934,0.23117060122697494,0.9511459294933032,1.3641706404150005,0.14630767586369342,0.14630767586369342,0.13346640884712163,0.04387059081583544
monte_carlo,10,3,1.0644745785167669,0.30092409559138583,0.8137828796729204,1.3498962777156485,0.06447457851676686,0.06447457851676686,0.1737386075953313,0.056723477591638094
monte_carlo,20,3,1.102437085047858,0.2983592948053242,0.8525615846896958,1.384733188017884,0.10243708504785798,0.10243708504785798,0.17225781917108085,0.04387059081583544
