sim,mcmc_iter,tau_current,running_tau,total_distance,accepted_iterations,accepted_iteration_rate,type1_count,type2_count,type1_acceptance_rate,type2_acceptance_rate
1,5,0.6748771830838625,0.705044519522988,29.183442470199857,1,0.2,2,3,0.0,0.3333333333333333
1,10,0.6748771830838625,0.6899608513034251,29.88199757594885,2,0.2,5,5,0.2,0.2
1,15,0.6554294412173586,0.6823399296480372,29.94380958234772,3,0.2,8,7,0.125,0.2857142857142857
1,20,0.6554294412173586,0.6756123075403677,30.35489035711204,4,0.2,11,9,0.18181818181818182,0.2222222222222222
