beta,N,n_reps,n_mcmc,k,mu,recipient_frac,mean_tau,bias,abs_bias,sd_tau,mc_se_bias,mean_x_gap
1,50,3,5,2,0.1,0.3,1.0086605706527152,0.008660570652715194,0.008660570652715194,0.4414007708775389,0.2548428538866554,0.15074151995042878
1,100,3,5,2,0.1,0.3,0.9956836873180085,-0.004316312681991508,0.004316312681991508,0.08179711982697027,0.04722558915103736,0.021749093731656743
inf,50,3,5,2,0.1,0.3,1.1486998657173195,0.14869986571731952,0.14869986571731952,0.6924539368430727,0.39978846683776414,0.11335132303085121
inf,100,3,5,2,0.1,0.3,0.7951200921328807,-0.2048799078671193,0.2048799078671193,0.6513063380622509,0.37603188960515,0.04206822624657141
