mcmc_iter,n_sim,mean_tau,sd_tau,q05_tau,q95_tau,mean_acceptance_rate,mean_row_update_rate,bias,abs_bias,se_tau
5,2,1.0289832266257801,0.17373040147709715,0.9184218761413352,1.1395445771102253,1.0,0.65,0.028983226625780123,0.028983226625780123,0.12284594498271678
10,2,1.0165726772927233,0.125896857367975,0.9364524078752496,1.096692946710197,1.0,0.7433333333333333,0.01657267729272327,0.01657267729272327,0.08902252157497069
15,2,1.0243985036304493,0.12952192467933163,0.9419712555026694,1.106825751758229,1.0,0.7522222222222222,0.024398503630449264,0.024398503630449264,0.09158583125308864
20,2,1.0234710115747996,0.12785388997424896,0.9421052942331163,1.1048367289164827,1.0,0.77,0.023471011574799583,0.023471011574799583,0.09040635260187017
