sim,tau_hat,running_mean_tau,running_bias,running_abs_bias,accepted_iteration_rate,accepted_row_update_rate,n_mcmc,k,beta,dataset_file
1,0.9330646589729292,0.9330646589729292,-0.06693534102707077,0.06693534102707077,1.0,0.795,20,2,1.0,datasets_sb01_10000.npz
2,1.1138773641766697,1.0234710115747996,0.023471011574799583,0.023471011574799583,1.0,0.745,20,2,1.0,datasets_sb01_10000.npz
3,1.3919810044414818,1.1463076758636936,0.14630767586369364,0.14630767586369364,1.0,0.8033333333333333,20,2,1.0,datasets_sb01_10000.npz
4,0.97824995732918,1.1042932462300652,0.1042932462300652,0.1042932462300652,1.0,0.8316666666666667,20,2,1.0,datasets_sb01_10000.npz
5,1.0178401760792537,1.087002632199903,0.0870026321999029,0.0870026321999029,1.0,0.7733333333333333,20,2,1.0,datasets_sb01_10000.npz
