acceptance_count,beta,bwVar,covers_true,dataset_file,est,est_med,estdiff,ll,method,miVar,miVarclus,miVarpaired,n_mcmc,pstar,result_file,sim,ul,wiVar,wiVarclus,wiVarpaired
5,1.0,0.00045961718076135635,1,datasets_sb01.npz,0.7792050588520393,0.7744472649589904,0.7792050588520357,0.26459684107484127,constrained_1to1,0.06893523995309873,0.23145846819496377,0.05571115003659926,20,0.5,tmp\smoke_constrained_1to1_fast_no_profile.csv,1,1.2938132766292374,0.0684526419132993,0.23097587015516435,0.05522855199679984
1,1.0,4.109537054511706e-06,1,datasets_sb01.npz,0.9539511197141156,0.9546097428740978,0.9539511197141192,0.4433950348810951,constrained_1to1,0.06785389310704458,0.24291294836787014,0.06104360791910253,20,0.5,tmp\smoke_constrained_1to1_fast_no_profile.csv,2,1.4645072045471361,0.06784957809313734,0.2429086333539629,0.061039292905195296
5,1.0,0.0009454966830417375,1,datasets_sb01.npz,1.2087067570028083,1.2081171096826873,1.2087067570028,0.6815875711512277,constrained_1to1,0.07232784154853007,0.23196741694997625,0.05619040451339361,20,0.5,tmp\smoke_constrained_1to1_fast_no_profile.csv,3,1.735825942854389,0.07133507003133625,0.23097464543278243,0.055197632996199786
