beta,N,n_reps,n_mcmc,k,mu,recipient_frac,mean_tau,bias,abs_bias,sd_tau,mc_se_bias,mean_x_gap
1,100,100,300,2,0.1,0.3,1.0473566152188205,0.04735661521882051,0.04735661521882051,0.23669446514873255,0.023669446514873255,0.11004787854292486
1,300,100,300,2,0.1,0.3,1.0536851720081537,0.0536851720081537,0.0536851720081537,0.12746447266081987,0.012746447266081987,0.08935651639717188
1,1000,100,300,2,0.1,0.3,1.0516155766957214,0.051615576695721366,0.051615576695721366,0.07702483108284963,0.007702483108284963,0.08813273174941097
1,3000,100,300,2,0.1,0.3,1.0452387694556622,0.04523876945566219,0.04523876945566219,0.04154150603874928,0.004154150603874928,0.08861456082636446
