sampler,mcmc_iter,n_sim,mean_tau,sd_tau,q05_tau,q95_tau,bias,abs_bias,se_tau,mean_tau_diff_mcmc_minus_mc
mcmc,250,100,1.0431866745193208,0.2389097995729352,0.674608967907085,1.4554690684785336,0.04318667451932079,0.04318667451932079,0.023890979957293522,-0.001380131987946509
mcmc,500,100,1.043748596670989,0.2382082258678793,0.6760732503503877,1.4506731689924366,0.04374859667098896,0.04374859667098896,0.02382082258678793,-0.0009084475423180027
mcmc,750,100,1.043881757175685,0.23800090541703442,0.6761897740509306,1.444574867469718,0.0438817571756851,0.0438817571756851,0.023800090541703442,-0.0009512758929806076
mcmc,1000,100,1.0437403633091324,0.2373697285918763,0.6776832496104597,1.4449740841952865,0.043740363309132446,0.043740363309132446,0.02373697285918763,-0.0011970775276810564
mcmc,1250,100,1.04352206612784,0.23776167038498217,0.6766186362073145,1.4451776419881288,0.04352206612783993,0.04352206612783993,0.023776167038498216,-0.0012972410176377291
mcmc,1500,100,1.0434434586949193,0.2379804019018546,0.6757074090708661,1.4497608255622207,0.04344345869491928,0.04344345869491928,0.02379804019018546,-0.0016085143021442594
mcmc,1750,100,1.0433711722344379,0.2382534612118225,0.676810599018673,1.4484958051397163,0.04337117223443787,0.04337117223443787,0.02382534612118225,-0.0014992030893963282
mcmc,2000,100,1.0435307877664233,0.2380449698581616,0.6771642988193483,1.4458358717649338,0.04353078776642327,0.04353078776642327,0.02380449698581616,-0.0012692895804020665
mcmc,2250,100,1.0434819978531626,0.2382870429242305,0.6780861660327575,1.4452543048442883,0.043481997853162646,0.043481997853162646,0.02382870429242305,-0.0014467706759593302
mcmc,2500,100,1.0434197456201595,0.23822164944586782,0.6774208709091488,1.442909297852159,0.04341974562015949,0.04341974562015949,0.023822164944586784,-0.0015650463792498126
mcmc,2750,100,1.043487768048113,0.23815482782572864,0.6785062404933748,1.4431457502527716,0.04348776804811294,0.04348776804811294,0.023815482782572863,-0.0013954063100352077
mcmc,3000,100,1.0436886954411748,0.23814940528923265,0.6777628898832846,1.4417198868852523,0.04368869544117482,0.04368869544117482,0.023814940528923266,-0.00115933911203836
mcmc,3250,100,1.0438648560397359,0.23816084630352946,0.6778270212142831,1.4425946681719097,0.04386485603973589,0.04386485603973589,0.023816084630352945,-0.0009857439597413808
mcmc,3500,100,1.0439439786790239,0.23812093297974504,0.6772277932783864,1.4433394075481052,0.04394397867902389,0.04394397867902389,0.023812093297974506,-0.0008752132712375182
mcmc,3750,100,1.0440363517198572,0.23798245035498045,0.6756162363072562,1.442744835362834,0.0440363517198572,0.0440363517198572,0.023798245035498045,-0.000792099331812901
mcmc,4000,100,1.044046688937604,0.2379309716866419,0.675649516286636,1.4415876454713057,0.044046688937604106,0.044046688937604106,0.02379309716866419,-0.0007268966433975343
mcmc,4250,100,1.0440163628880743,0.23803737465944122,0.6754567705565503,1.4405531202818473,0.04401636288807431,0.04401636288807431,0.023803737465944122,-0.0007843163509486661
mcmc,4500,100,1.0441232658622266,0.23812513864169924,0.6752573206319913,1.4408837624416868,0.04412326586222659,0.04412326586222659,0.023812513864169924,-0.0005648753550344665
mcmc,4750,100,1.0442015997119167,0.23819053311771943,0.6753845414637263,1.4395564022294975,0.04420159971191673,0.04420159971191673,0.02381905331177194,-0.0004999287748528314
mcmc,5000,100,1.0442727766448061,0.23807285453845056,0.6759884795945293,1.4402268061656098,0.04427277664480611,0.04427277664480611,0.023807285453845056,-0.0003939878627090554
monte_carlo,250,100,1.0445668065072673,0.23869617711984764,0.6735172650965812,1.4350592809258795,0.0445668065072673,0.0445668065072673,0.023869617711984766,-0.001380131987946509
monte_carlo,500,100,1.044657044213307,0.23815883407502822,0.6699685487913359,1.4432714524755654,0.04465704421330696,0.04465704421330696,0.023815883407502823,-0.0009084475423180027
monte_carlo,750,100,1.0448330330686657,0.23797471823527697,0.6755230453222905,1.4455614964471828,0.044833033068665706,0.044833033068665706,0.023797471823527698,-0.0009512758929806076
monte_carlo,1000,100,1.0449374408368135,0.23822694972227626,0.6747553613618806,1.445480194200102,0.0449374408368135,0.0449374408368135,0.023822694972227627,-0.0011970775276810564
monte_carlo,1250,100,1.0448193071454777,0.2379451593426329,0.6770757473214544,1.442890380113781,0.04481930714547766,0.04481930714547766,0.02379451593426329,-0.0012972410176377291
monte_carlo,1500,100,1.0450519729970635,0.23796387421902682,0.6754612906448213,1.4412016703248516,0.04505197299706354,0.04505197299706354,0.02379638742190268,-0.0016085143021442594
monte_carlo,1750,100,1.0448703753238342,0.23800925412691978,0.67328363304241,1.4405980031999897,0.0448703753238342,0.0448703753238342,0.02380092541269198,-0.0014992030893963282
monte_carlo,2000,100,1.0448000773468253,0.23778233405276789,0.6741245870217798,1.439558270204274,0.04480007734682534,0.04480007734682534,0.023778233405276787,-0.0012692895804020665
monte_carlo,2250,100,1.044928768529122,0.23766646462582766,0.6737465825645469,1.440824406103254,0.044928768529121976,0.044928768529121976,0.023766646462582766,-0.0014467706759593302
monte_carlo,2500,100,1.0449847919994093,0.23769978248424353,0.6723232167247244,1.4403185902541373,0.0449847919994093,0.0449847919994093,0.023769978248424355,-0.0015650463792498126
monte_carlo,2750,100,1.0448831743581481,0.23772558914339426,0.6724864003946863,1.4396507302515495,0.04488317435814815,0.04488317435814815,0.023772558914339426,-0.0013954063100352077
monte_carlo,3000,100,1.0448480345532132,0.23766625851257359,0.6724605289738299,1.439800938566529,0.04484803455321318,0.04484803455321318,0.02376662585125736,-0.00115933911203836
monte_carlo,3250,100,1.0448505999994773,0.23772808873083845,0.6716183248319032,1.4406129073353815,0.04485059999947727,0.04485059999947727,0.023772808873083844,-0.0009857439597413808
monte_carlo,3500,100,1.0448191919502614,0.23780184834780757,0.6709518216156668,1.4402227813131756,0.044819191950261406,0.044819191950261406,0.023780184834780758,-0.0008752132712375182
monte_carlo,3750,100,1.04482845105167,0.2377809207922682,0.6712177158742136,1.440556227456838,0.044828451051670104,0.044828451051670104,0.02377809207922682,-0.000792099331812901
monte_carlo,4000,100,1.0447735855810016,0.23777032245274457,0.6712887649536805,1.4403216952570093,0.04477358558100164,0.04477358558100164,0.023777032245274457,-0.0007268966433975343
monte_carlo,4250,100,1.044800679239023,0.23770704800525602,0.6709739706482039,1.4408796277524214,0.04480067923902298,0.04480067923902298,0.0237707048005256,-0.0007843163509486661
monte_carlo,4500,100,1.044688141217261,0.2376760067402337,0.6710680204022428,1.440882556974771,0.04468814121726106,0.04468814121726106,0.02376760067402337,-0.0005648753550344665
monte_carlo,4750,100,1.0447015284867696,0.23765919009178332,0.6713241034823768,1.4404318849230604,0.04470152848676956,0.04470152848676956,0.02376591900917833,-0.0004999287748528314
monte_carlo,5000,100,1.0446667645075152,0.23767600619682946,0.6717529645127749,1.4403163068380653,0.044666764507515166,0.044666764507515166,0.023767600619682947,-0.0003939878627090554
