sim,sampler,mcmc_iter,tau_current,running_tau,total_distance,accepted_count,accepted_rate,changed_count,changed_iteration_count,changed_iteration_rate,changed_recipient_rate
1,mcmc,100,0.749559072314195,0.7886720569487153,51.83685447322682,38.0,0.38,,,,
1,mcmc,200,0.8812483258668593,0.8210172299016457,56.2037848574935,97.0,0.485,,,,
1,mcmc,300,0.9359926860138045,0.86588126179229,59.325081194425834,158.0,0.5266666666666666,,,,
1,mcmc,400,0.7694719253841782,0.8544904603278514,54.94355404884125,215.0,0.5375,,,,
1,mcmc,500,0.7279926350912636,0.8390850967731625,56.20917149565834,273.0,0.546,,,,
1,mcmc,600,0.8965210394837485,0.8450340356635958,59.09545532750452,336.0,0.56,,,,
1,mcmc,700,0.9052579723811648,0.8464895309641268,60.177383981625965,400.0,0.5714285714285714,,,,
1,mcmc,800,0.8934980713158822,0.859930123113982,55.037233423508106,456.0,0.57,,,,
1,mcmc,900,0.8780908086064634,0.8735116702790953,55.28237759781843,519.0,0.5766666666666667,,,,
1,mcmc,1000,0.69397563784113,0.860411723118289,55.20256801971973,579.0,0.579,,,,
1,mcmc,1100,1.06070460558138,0.8596637877209278,52.544810068425335,634.0,0.5763636363636364,,,,
1,mcmc,1200,0.8205978294868799,0.8694385148701955,53.60848025375586,696.0,0.58,,,,
1,mcmc,1300,0.8057401630573494,0.8655048559190641,54.741191357863514,750.0,0.5769230769230769,,,,
1,mcmc,1400,0.9064404142341809,0.8641700996896304,50.79830024866825,805.0,0.575,,,,
1,mcmc,1500,1.0079197172584642,0.8743274776773895,58.11978488811047,860.0,0.5733333333333334,,,,
1,mcmc,1600,0.7790826179178036,0.8726435094740307,59.12351258547396,921.0,0.575625,,,,
1,mcmc,1700,0.9648189893148267,0.874502554203772,65.41833300284121,989.0,0.581764705882353,,,,
1,mcmc,1800,1.0338897172354027,0.8749667849889804,52.257403365303986,1058.0,0.5877777777777777,,,,
1,mcmc,1900,0.9046054849003706,0.8748750777184374,57.18404397247808,1115.0,0.5868421052631579,,,,
1,mcmc,2000,0.9325618427859674,0.8774151001167028,61.44997204974063,1175.0,0.5875,,,,
1,mcmc,2100,0.8623741535498293,0.8770474648651595,59.68237850244902,1234.0,0.5876190476190476,,,,
1,mcmc,2200,0.8752608021087365,0.8716770265833905,56.3862738932696,1293.0,0.5877272727272728,,,,
1,mcmc,2300,0.9172681102015825,0.8710445020357909,57.07241819991654,1346.0,0.5852173913043478,,,,
1,mcmc,2400,0.8394778166684383,0.8742432825402194,60.721359375858874,1412.0,0.5883333333333334,,,,
1,mcmc,2500,0.9279785576053127,0.8769583442063861,60.11284236096863,1475.0,0.59,,,,
1,mcmc,2600,1.0342443888439328,0.8806710805703984,55.4094231641296,1529.0,0.588076923076923,,,,
1,mcmc,2700,0.7904616642613224,0.8824840924614568,54.02333593565001,1587.0,0.5877777777777777,,,,
1,mcmc,2800,0.8270706852071017,0.8818284803728339,53.00541811319717,1643.0,0.5867857142857142,,,,
1,mcmc,2900,0.8138995261626073,0.8826394466032816,56.00587480723372,1697.0,0.5851724137931035,,,,
1,mcmc,3000,0.7688464333182842,0.8793930996385595,55.23538707669756,1753.0,0.5843333333333334,,,,
1,mcmc,3100,0.9822071079878799,0.8805721663590473,53.77842265096933,1811.0,0.5841935483870968,,,,
1,mcmc,3200,1.0548346882447652,0.884229395256098,57.46355710813765,1870.0,0.584375,,,,
1,mcmc,3300,0.8416182556979616,0.8847314877266731,53.40628555900182,1934.0,0.5860606060606061,,,,
1,mcmc,3400,0.6702801659934602,0.8812158190678037,54.93769016097565,1996.0,0.5870588235294117,,,,
1,mcmc,3500,0.863039387605594,0.8766909806523404,52.67399561524877,2050.0,0.5857142857142857,,,,
1,mcmc,3600,0.897003379217384,0.8760224816455555,55.64299766024027,2105.0,0.5847222222222223,,,,
1,mcmc,3700,0.7544226741065945,0.8729177302739362,54.67762492380798,2156.0,0.5827027027027027,,,,
1,mcmc,3800,0.7536255490735086,0.868084893159357,53.209137634787005,2208.0,0.5810526315789474,,,,
