sim,mcmc_iter,k,tau_current,running_tau,total_distance,accepted_iterations,accepted_iteration_rate,type1_count,type2_count,type1_acceptance_rate,type2_acceptance_rate
1,4800,2,0.8252190178932021,0.8746704559734038,118.71409396142012,2682,0.55875,2378,2422,0.5441547518923465,0.5730800990916598
1,4900,2,0.8581651129833971,0.8735746887726666,124.26641579623755,2743,0.559795918367347,2424,2476,0.5453795379537953,0.5739095315024233
1,5000,2,0.8634178537094309,0.8739516704292355,119.45531380436715,2805,0.561,2482,2518,0.548348106365834,0.5734710087370929
1,5100,2,0.8698241635658103,0.8738547744163976,121.51358778322401,2869,0.5625490196078431,2529,2571,0.5492289442467378,0.5756514974718009
1,5200,2,0.8571495058722803,0.872862201571943,117.89588321986041,2936,0.5646153846153846,2585,2615,0.5508704061895551,0.5782026768642448
1,5300,2,0.8950180736209632,0.872712530845536,106.32234138793136,2980,0.5622641509433962,2622,2678,0.549580472921434,0.5746825989544436
1,5400,2,0.7731116592012465,0.872970766256956,110.47674267391778,3035,0.562037037037037,2660,2740,0.5492481203007519,0.5744525547445255
1,5500,2,0.8273620686169049,0.8723831860181527,120.6766033280357,3094,0.5625454545454546,2716,2784,0.5493372606774669,0.5754310344827587
1,5600,2,0.9612308518971531,0.8724549434177767,113.78940659750387,3147,0.5619642857142857,2761,2839,0.5490764215863817,0.5744980626981332
1,5700,2,0.9121943908405683,0.8729456700250345,111.49471762215795,3198,0.5610526315789474,2805,2895,0.5483065953654189,0.5734024179620034
1,5800,2,0.8729099907830157,0.8737393981891922,116.84579234126902,3248,0.56,2860,2940,0.5454545454545454,0.5741496598639456
1,5900,2,0.8180709475748623,0.873123425580882,116.52472535327156,3306,0.5603389830508475,2904,2996,0.5447658402203857,0.57543391188251
1,6000,2,0.9174727015063279,0.8727570194855357,120.7875148935314,3357,0.5595,2954,3046,0.5423155044008124,0.5761654629021667
1,6100,2,0.8830667503337963,0.8730906766097118,120.76091109330551,3411,0.5591803278688524,3008,3092,0.5412234042553191,0.5766494178525227
1,6200,2,0.8437551533225511,0.8730307954656588,123.87027673223618,3471,0.5598387096774193,3056,3144,0.5412303664921466,0.5779262086513995
1,6300,2,0.8758570243928641,0.8730889882637537,127.30322964220952,3538,0.5615873015873016,3105,3195,0.5429951690821256,0.5796557120500783
1,6400,2,0.8869205621432229,0.872670037587352,122.91006449940295,3607,0.56359375,3157,3243,0.5445042762115933,0.582176996608079
1,6500,2,0.8927195483802279,0.8725704559798957,120.04812615200967,3666,0.564,3209,3291,0.5444063571205984,0.5831054390762687
1,6600,2,0.8595817539142218,0.8731197633599074,117.22643587294168,3721,0.5637878787878788,3261,3339,0.5446182152713891,0.5825097334531297
1,6700,2,0.8763862756165963,0.8728708864310281,116.92692533996791,3779,0.5640298507462687,3313,3387,0.5451252641110775,0.5825214053734868
1,6800,2,0.8797618654831922,0.8731854435591065,119.31466622126344,3838,0.5644117647058824,3363,3437,0.5450490633363069,0.5833575792842596
1,6900,2,0.8996222903878409,0.8734814069882783,116.49641213995747,3889,0.5636231884057971,3412,3488,0.5445486518171161,0.5822821100917431
1,7000,2,0.8611703407147843,0.8736724899293444,111.71425923908942,3940,0.5628571428571428,3456,3544,0.5439814814814815,0.5812641083521445
1,7100,2,0.8476646705833825,0.8734811610630121,110.83610366102164,3987,0.5615492957746478,3508,3592,0.5421892816419612,0.580456570155902
1,7200,2,0.8079203566988933,0.8727715099686869,116.75972039062032,4034,0.5602777777777778,3555,3645,0.5409282700421941,0.5791495198902606
1,7300,2,0.8914730782029437,0.8723893981323743,120.64665689816853,4088,0.56,3604,3696,0.5416204217536071,0.577922077922078
1,7400,2,0.827873026140863,0.8721027866834951,112.89018893367815,4135,0.5587837837837838,3653,3747,0.5403777716944976,0.5767280491059514
1,7500,2,0.8418057500017084,0.871426356621635,114.42559809556778,4178,0.5570666666666667,3704,3796,0.5386069114470843,0.5750790305584826
1,7600,2,0.862474974716118,0.8715921256301506,118.27135016397183,4234,0.5571052631578948,3757,3843,0.5384615384615384,0.5753317720530835
1,7700,2,0.9125118359403207,0.8717534005842329,114.76106419850402,4280,0.5558441558441558,3808,3892,0.5375525210084033,0.5737410071942446
1,7800,2,0.8685443147000721,0.8716856263082916,115.0319160439529,4338,0.5561538461538461,3851,3949,0.537782394183329,0.5740693846543429
1,7900,2,0.8426300123082683,0.8718323485754556,115.52992071717479,4390,0.5556962025316455,3897,4003,0.5386194508596356,0.5723207594304272
1,8000,2,0.8900336096973737,0.8715527373063746,121.99354126591862,4438,0.55475,3947,4053,0.5376235115277426,0.5714285714285714
1,8100,2,0.8427976770608969,0.8719322175269001,113.93308593474026,4493,0.5546913580246914,3995,4105,0.537171464330413,0.571741778319123
1,8200,2,0.8385547011775922,0.8717744242163483,111.47092920359009,4546,0.5543902439024391,4040,4160,0.5366336633663367,0.5716346153846154
1,8300,2,0.8874238135833062,0.8717629983496323,114.57699518694447,4605,0.5548192771084337,4085,4215,0.5373317013463892,0.571767497034401
1,8400,2,0.8799832591214909,0.8719451518003632,114.23203613475663,4662,0.555,4137,4263,0.5371041817742326,0.572366877785597
1,8500,2,0.8909182783981805,0.8716647643236867,112.54296623223388,4712,0.5543529411764706,4192,4308,0.5367366412213741,0.5714948932219127
1,8600,2,0.8630249378170447,0.8720617367520014,115.08568140260559,4761,0.5536046511627907,4249,4351,0.536832195810779,0.5699839117444265
1,8700,2,0.8192453419890171,0.8719211229804175,118.51485021191286,4815,0.553448275862069,4292,4408,0.537977632805219,0.5685117967332124
1,8800,2,0.8405718360561726,0.8713900766559157,114.08549826548793,4868,0.5531818181818182,4351,4449,0.5380372328200413,0.5679928073724433
1,8900,2,0.8247148692764843,0.8711428798912423,114.69945940235506,4923,0.5531460674157304,4411,4489,0.538880072545908,0.5671641791044776
1,9000,2,0.9141160799026996,0.8709206446600111,110.50309521317672,4969,0.5521111111111111,4461,4539,0.5375476350594037,0.566424322538004
1,9100,2,0.870205167830189,0.8710481993365334,119.23708606320002,5014,0.550989010989011,4513,4587,0.5351207622424108,0.5666012644429911
1,9200,2,0.8562700957305727,0.8708400149809427,118.6977453738929,5070,0.5510869565217391,4559,4641,0.5349857424873876,0.5669036845507434
1,9300,2,0.9178141104807309,0.8709284520312878,117.8181493437157,5117,0.5502150537634408,4606,4694,0.534085974815458,0.5660417554324669
1,9400,2,0.8491708715983957,0.8712575661315588,114.74867449647537,5179,0.5509574468085107,4653,4747,0.5353535353535354,0.5662523699178429
1,9500,2,0.8492280683907514,0.8709415201648729,119.00603945151175,5240,0.5515789473684211,4701,4799,0.5354179961710275,0.5674098770577204
1,9600,2,0.8464904474403208,0.8709960878724231,123.88411524495471,5310,0.553125,4747,4853,0.5354961028017695,0.570368844014012
1,9700,2,0.8735369663283488,0.871477107867203,113.8614911196398,5367,0.5532989690721649,4794,4906,0.5358781810596579,0.5703220546269874
1,9800,2,0.9419486271292651,0.8717202845065872,117.53944755539435,5418,0.5528571428571428,4854,4946,0.5352286773794809,0.5701577031945007
1,9900,2,0.8806537107659627,0.8721337560653655,116.85815592820475,5471,0.5526262626262626,4894,5006,0.5345320800980793,0.5703156212544946
1,10000,2,0.8388226451668743,0.8721252450852235,126.21896654393102,5534,0.5534,4945,5055,0.5354903943377148,0.570919881305638
