sim,mcmc_iter,k,tau_current,running_tau,total_distance,accepted_iterations,accepted_iteration_rate,type1_count,type2_count,type1_acceptance_rate,type2_acceptance_rate
1,100,2,0.89130362885597,0.8677767534624806,94.41851523915645,30,0.3,51,49,0.2549019607843137,0.3469387755102041
1,200,2,0.9654295776909597,0.8889729663982026,105.10172561923086,82,0.41,107,93,0.42990654205607476,0.3870967741935484
1,300,2,0.849477025679774,0.8845671138488861,109.86022403807765,135,0.45,156,144,0.4166666666666667,0.4861111111111111
1,400,2,0.8440479249221577,0.8780790312636956,114.19076884502118,195,0.4875,208,192,0.4567307692307692,0.5208333333333334
1,500,2,0.8686689489401033,0.8817535792457063,114.56416054315119,246,0.492,260,240,0.46923076923076923,0.5166666666666667
1,600,2,0.8500502231864857,0.8804246036355404,118.9576813992604,302,0.5033333333333333,311,289,0.4855305466237942,0.5224913494809689
1,700,2,0.8794099082277247,0.8799043584695749,120.21551570507637,359,0.5128571428571429,359,341,0.5013927576601671,0.5249266862170088
1,800,2,0.8605295599938927,0.8725791511811671,119.96993354036918,418,0.5225,410,390,0.5048780487804878,0.541025641025641
1,900,2,0.8400241328584495,0.8722754943809388,115.38826129104942,472,0.5244444444444445,463,437,0.5053995680345572,0.5446224256292906
1,1000,2,0.8599182858799319,0.8715510713165585,108.20976859091245,524,0.524,513,487,0.5009746588693957,0.5482546201232033
1,1100,2,0.8704607729908427,0.8710614082799256,117.6650487174238,582,0.5290909090909091,554,546,0.5090252707581228,0.5494505494505495
1,1200,2,0.8575192546419051,0.8711297996870349,115.84610339805398,631,0.5258333333333334,595,605,0.507563025210084,0.543801652892562
1,1300,2,0.8335667050552729,0.8706782505691227,120.98415057764352,692,0.5323076923076923,643,657,0.5101088646967341,0.5540334855403348
1,1400,2,0.8743757166792193,0.8734124762292235,125.31504323949524,758,0.5414285714285715,694,706,0.5230547550432276,0.5594900849858357
1,1500,2,0.8219924968612758,0.8730173387429112,125.046727449963,819,0.546,745,755,0.5275167785234899,0.5642384105960265
1,1600,2,0.8005893300541932,0.870397891133074,122.19396936187574,873,0.545625,788,812,0.5279187817258884,0.562807881773399
1,1700,2,0.8540018310876576,0.8690271663755132,127.63703899894026,936,0.5505882352941176,836,864,0.5322966507177034,0.5682870370370371
1,1800,2,0.8022358452241178,0.8664826108578303,120.79565068009869,990,0.55,878,922,0.5296127562642369,0.56941431670282
1,1900,2,0.8904969109355382,0.8663000869967951,119.48792765542338,1044,0.5494736842105263,935,965,0.5272727272727272,0.5709844559585492
1,2000,2,0.9373796225546281,0.868379823788686,115.4660246336465,1096,0.548,976,1024,0.5297131147540983,0.5654296875
1,2100,2,0.806496004625842,0.8686239563412494,121.50219942652677,1156,0.5504761904761905,1023,1077,0.530791788856305,0.5691736304549675
1,2200,2,0.8394370788798672,0.8671834456344872,124.16604365326026,1217,0.5531818181818182,1070,1130,0.5383177570093458,0.5672566371681416
1,2300,2,0.9102748780532692,0.8684417004374767,124.21699905669794,1270,0.5521739130434783,1125,1175,0.536,0.5676595744680851
