sim,sampler,mcmc_iter,tau_current,running_tau,accepted_iteration_rate,accepted_row_update_rate
1,mcmc,250,1.0983194667817173,0.8791821520632388,1.0,0.8445333333333334
1,mcmc,500,0.9143871804509702,0.8815867783130062,1.0,0.8493333333333334
1,mcmc,750,0.6668799661760524,0.872871519602919,1.0,0.8534666666666667
1,mcmc,1000,0.8084791152671151,0.8696629235302608,1.0,0.8527666666666667
1,mcmc,1250,0.9778223391693607,0.8687030292422987,1.0,0.8532
1,mcmc,1500,0.8442192089006508,0.8728668319961207,1.0,0.8536222222222222
1,mcmc,1750,0.868284804611093,0.8720897382764758,1.0,0.8535238095238096
1,mcmc,2000,0.9902789898266727,0.8764622900354128,1.0,0.85255
1,mcmc,2250,0.8586877521694803,0.8785999719536267,1.0,0.8527407407407407
1,mcmc,2500,0.9516525156043498,0.8771015130083518,1.0,0.8525333333333334
1,mcmc,2750,0.9253825896639583,0.8781946199247653,1.0,0.8527636363636364
1,mcmc,3000,0.8832856229950655,0.8776652863199582,1.0,0.8523666666666667
1,mcmc,3250,1.0196892246146356,0.8788389340472745,1.0,0.8523384615384615
1,mcmc,3500,0.7641529703317752,0.8789270084851086,1.0,0.8527238095238096
1,mcmc,3750,0.725586248638629,0.8770056066985378,1.0,0.8522933333333333
1,mcmc,4000,1.0046160269224653,0.877312909048015,1.0,0.8522083333333333
1,mcmc,4250,0.9973986965138532,0.87763697036538,1.0,0.8526431372549019
1,mcmc,4500,0.790849697275069,0.8776647550959326,1.0,0.8525037037037037
1,mcmc,4750,0.827766801472132,0.8774315751845388,1.0,0.8526175438596492
1,mcmc,5000,1.0222475962628448,0.8776494875677119,1.0,0.8520733333333333
1,monte_carlo,250,0.8718761911055891,0.8662183081757493,,
1,monte_carlo,500,0.8854008556280172,0.8757935574561814,,
1,monte_carlo,750,0.8620297402780676,0.8782414426051108,,
1,monte_carlo,1000,0.7805684094038465,0.8776093289536384,,
1,monte_carlo,1250,0.931523752753146,0.8775442764317913,,
1,monte_carlo,1500,0.8002408207624945,0.8781622840368298,,
1,monte_carlo,1750,0.9114181491922684,0.8787010026369636,,
1,monte_carlo,2000,0.9757050886132729,0.8784408725960389,,
1,monte_carlo,2250,0.9081424787146678,0.8763128114649574,,
1,monte_carlo,2500,0.6866770262276918,0.876232702548074,,
1,monte_carlo,2750,0.6620968494678211,0.8761528056027078,,
1,monte_carlo,3000,0.6560024350892774,0.8760471792332039,,
1,monte_carlo,3250,0.5351877716877762,0.876953652436817,,
1,monte_carlo,3500,0.9273328241487241,0.8779251824327641,,
1,monte_carlo,3750,0.966020591463603,0.878233719169384,,
1,monte_carlo,4000,0.9482140227669194,0.8780356526384878,,
1,monte_carlo,4250,0.7964805031750433,0.8775605074443024,,
1,monte_carlo,4500,0.8855862660500996,0.8771570961749748,,
1,monte_carlo,4750,1.0536989918866955,0.87664153919175,,
1,monte_carlo,5000,0.9739887437737531,0.8774615394618901,,
