acceptance_count,beta,bwVar,covers_true,dataset_file,est,est_med,estdiff,ll,method,miVar,miVarclus,miVarpaired,n_mcmc,n_sampling_draws,pstar,result_file,share_acceptance_in_mcmc,share_estimation_in_method,share_mcmc_in_method,share_method_in_sim,share_proposal_in_mcmc,sim,time_allocation,time_mcmc_acceptance,time_mcmc_estimation,time_mcmc_proposal,time_mcmc_total,time_method_call,time_method_total,time_per_sampling_draw,time_setup,time_sim_post,time_sim_prep,time_sim_total,time_summary,ul,wiVar,wiVarclus,wiVarpaired
565,1.0,0.0239385372969413,1,datasets_sb01.npz,0.8731762788994899,0.8353615202994288,0.8731762788994863,0.2954346302133103,constrained_1to1,0.08688708158752212,0.2680735158979469,0.08614948334179637,1000,1000,0.5,results\constrained_1to1_beta1_profile_1.csv,0.006100935201203026,0.8591233645866575,0.9991354262377935,0.9997223574635178,0.13403228195269778,1,5.3000112529844046e-06,0.0022068003891035914,0.3110267997253686,0.04848150032921694,0.36171510044368915,0.3629559999972116,0.3620281004405115,4.848150032921694e-05,0.00026709999656304717,1.829999382607639e-05,8.140000863932073e-05,0.36305680000805296,4.05999890062958e-05,1.4509179275856696,0.06292460575328387,0.24411104006370868,0.06218700750755814
512,1.0,0.01688873090947269,1,datasets_sb01.npz,1.0477564513805027,1.0567317961686227,1.0477564513805042,0.4347887396101433,constrained_1to1,0.09780544972745481,0.29073093993233995,0.09486788910846028,1000,1000,0.5,results\constrained_1to1_beta1_profile_1.csv,0.006084179052334416,0.857753983338631,0.999436831963136,0.9998421879583986,0.13567850578509114,2,4.299974534660578e-06,0.0024942000745795667,0.3518330997612793,0.055621199891902506,0.4099484997277614,0.41118399999686517,0.4101794997113757,5.5621199891902504e-05,0.00018110001110471785,1.2100004823878407e-05,5.190001684240997e-05,0.4112489000253845,4.5599997974932194e-05,1.660724163150862,0.08089983008707265,0.2738253202919578,0.07796226946807812
468,1.0,0.017116775732862004,1,datasets_sb01.npz,1.4634763462203215,1.4679697700664336,1.4634763462203166,0.8950726758211578,constrained_1to1,0.08410108614203488,0.2724377886844919,0.08530846180676671,1000,1000,0.5,results\constrained_1to1_beta1_profile_1.csv,0.005819477111018138,0.8611151955819087,0.9994018843593707,0.9998211321770909,0.13254997259850038,3,4.4000043999403715e-06,0.002465000143274665,0.36496739988797344,0.0561451991670765,0.4235775991983246,0.42481889997725375,0.42383109920774586,5.61451991670765e-05,0.00019109999993816018,1.300001167692244e-05,6.220000796020031e-05,0.42489490000298247,5.800000508315861e-05,2.0318800166194855,0.06696719363344002,0.25530389617589705,0.06817456929817184
473,1.0,0.024256753040319382,1,datasets_sb01.npz,1.018256779359312,0.9914576101591339,1.018256779359307,0.408281654615973,constrained_1to1,0.0968527834250448,0.2777077650379893,0.09144482333383293,1000,1000,0.5,results\constrained_1to1_beta1_profile_1.csv,0.00592582163871314,0.8600356131011301,0.9993667275832004,0.9998042366077753,0.13349358330687588,4,3.3999967854470015e-06,0.002226600219728425,0.32335919959587045,0.05015959980664775,0.3757453996222466,0.3769118000054732,0.3759834996017162,5.015959980664775e-05,0.00017899999511428177,1.270000939257443e-05,6.019999273121357e-05,0.3769855999853462,5.569998756982386e-05,1.628231904102651,0.0725717736316851,0.2534267552446296,0.06716381354047322
527,1.0,0.017561402359966165,1,datasets_sb01.npz,0.9706271757961807,0.9897745563873105,0.9706271757961754,0.45111396728765507,constrained_1to1,0.07025561584100973,0.23103850162820097,0.06545559553159752,1000,1000,0.5,results\constrained_1to1_beta1_profile_1.csv,0.00567835392269203,0.859404844530505,0.9993367943227949,0.9997190149791314,0.134346461121885,5,4.399975296109915e-06,0.0020363996736705303,0.30840860042371787,0.048179999575950205,0.3586249996733386,0.35970450000604615,0.3588629996520467,4.8179999575950203e-05,0.00019230000907555223,9.99998883344233e-06,9.009998757392168e-05,0.359805599990068,4.129999433644116e-05,1.4901403843047065,0.05267665207868359,0.21345953786587485,0.047876631769271386
514,1.0,0.016686621668887666,1,datasets_sb01.npz,0.9845474571080035,0.9665715298093858,0.9845474571080012,0.35925643507000715,constrained_1to1,0.10177760887164776,0.2962790655475387,0.09820409820489641,1000,1000,0.5,results\constrained_1to1_beta1_profile_1.csv,0.005837167661106554,0.8598695636371091,0.9993758226536397,0.9998099143241952,0.13375622238719378,6,3.5999983083456755e-06,0.002001900429604575,0.29508290014928207,0.04587269967305474,0.3429575002519414,0.3439899999939371,0.34317170025315136,4.587269967305474e-05,0.00017290000687353313,9.200011845678091e-06,5.549998604692519e-05,0.34405539999715984,3.7699996028095484e-05,1.6098384791459999,0.08507430058109121,0.27957575725698214,0.08150078991433986
522,1.0,0.013960406475050797,1,datasets_sb01.npz,1.3459896014047203,1.3507908413500407,1.3459896014047197,0.7269039534509841,constrained_1to1,0.09976755505578336,0.27854023947272144,0.08716093688639728,1000,1000,0.5,results\constrained_1to1_beta1_profile_1.csv,0.008831553322179168,0.8584830549366798,0.9992398760996763,0.9998398242174386,0.13203234185423368,7,3.1999952625483274e-06,0.003242600185330957,0.3154410997813102,0.04847710029571317,0.3671608002623543,0.3682863999856636,0.3674401002645027,4.847710029571317e-05,0.00016490000416524708,1.0199990356341004e-05,4.800001624971628e-05,0.36834539999836124,0.0001112000027205795,1.9650752493584567,0.08579318817425752,0.26456587259119557,0.07318657000487144
497,1.0,0.012347673216090978,1,datasets_sb01.npz,0.9626933143286049,0.9587441424741527,0.9626933143285998,0.396818547209836,constrained_1to1,0.0833543971422639,0.2688664086985478,0.08096482582444509,1000,1000,0.5,results\constrained_1to1_beta1_profile_1.csv,0.0059494193203931895,0.8581796535670204,0.9993710329997035,0.9998170654554789,0.13533082072106994,8,3.5999983083456755e-06,0.0022365997137967497,0.3228235002316069,0.050875700399046764,0.3759358003444504,0.37711509998189285,0.3761724003707059,5.087570039904676e-05,0.00018400000408291817,1.0199990356341004e-05,5.7600002037361264e-05,0.37718409998342395,4.900002386420965e-05,1.5285680814473739,0.07099437625295683,0.25650638780924073,0.06860480493513801
436,1.0,0.022443239813931995,1,datasets_sb01.npz,1.2652238210681066,1.263933544676997,1.2652238210681044,0.6416577238277814,constrained_1to1,0.10121685694177703,0.2942264198403813,0.09934132729083424,1000,1000,0.5,results\constrained_1to1_beta1_profile_1.csv,0.005905850713105526,0.8549245078473767,0.9992218124054776,0.9998364647192343,0.13850383166835345,9,4.4000043999403715e-06,0.0022567997802980244,0.3269463003089186,0.052926399948773906,0.3821295000379905,0.3833407000056468,0.3824271000630688,5.29263999487739e-05,0.0002541000139899552,7.99997360445559e-06,5.4100004490464926e-05,0.3834033999883104,3.91000066883862e-05,1.8887899183084318,0.0787511738880311,0.27176073678663537,0.07687564423708831
534,1.0,0.02241149808618307,1,datasets_sb01.npz,1.2429105690197588,1.2336062960810856,1.2429105690197584,0.6384018771214003,constrained_1to1,0.09512462478672025,0.2953858726561314,0.10011572753121059,1000,1000,0.5,results\constrained_1to1_beta1_profile_1.csv,0.00589417311902654,0.8596911943318197,0.9993088222225733,0.9998025915322293,0.13382002211866637,10,4.4000043999403715e-06,0.0020887004502583295,0.3048569004458841,0.0474213998822961,0.3543670007784385,0.35553770000115037,0.3546121007821057,4.74213998822961e-05,0.0002023999986704439,7.299997378140688e-06,6.220000796020031e-05,0.35560790001181886,3.8300000596791506e-05,1.8474192609181173,0.072690715202451,0.27295196307186215,0.07768181794694135
