acceptance_count,beta,bwVar,covers_true,dataset_file,est,est_med,ll,method,miVar,miVarclus,n_mcmc,n_sampling_draws,pstar,result_file,share_estimation_in_method,share_mcmc_in_method,share_method_in_sim,share_sampling_in_mcmc,share_sampling_in_method,sim,time_allocation,time_mcmc_estimation,time_mcmc_sampling,time_mcmc_total,time_method_call,time_method_total,time_per_sampling_draw,time_setup,time_sim_post,time_sim_prep,time_sim_total,time_summary,ul,wiVar,wiVarclus
543,1.0,0.0017599647245766757,1,datasets_sb01.npz,0.8616912953624227,0.8631491226655271,0.45790238717279896,constrained_1tok,0.04244207683698678,0.21107609238790484,1000,1000,0.5,results\constrained_1tok_beta1_profile_1.csv,0.850093534665541,0.998793959068887,0.9987099347429668,0.14887997975275102,0.14870042440334594,1,6.699992809444666e-06,0.33777029934572056,0.05908360058674589,0.39685389993246645,0.39807029999792576,0.39733309991424903,5.908360058674589e-05,0.00040850002551451325,2.0899984519928694e-05,0.0004918000195175409,0.39858450001338497,6.399996345862746e-05,1.2654802035520465,0.040680352147685526,0.2093143676986036
407,1.0,0.0026707270268677996,1,datasets_sb01.npz,1.0516618787362295,1.0510075984203278,0.5729516429085584,constrained_1tok,0.05965313668424211,0.24739716197765765,1000,1000,0.5,results\constrained_1tok_beta1_profile_1.csv,0.8548418976997955,0.9990370628201577,0.9998215468105413,0.14433414983956375,0.14419516512036232,2,3.600027412176132e-06,0.3260684993583709,0.05500139994546771,0.3810698993038386,0.38210450002225116,0.38143719936488196,5.500139994546771e-05,0.0003228000132367015,9.100011084228754e-06,5.8399979025125504e-05,0.382172699959483,4.090002039447427e-05,1.5303721145639007,0.05697973893034744,0.244723764223763
443,1.0,0.001638833955746252,0,datasets_sb01.npz,1.433610460414673,1.4341625891950267,1.011822182888811,constrained_1tok,0.04631022257867393,0.22081189561133355,1000,1000,0.5,results\constrained_1tok_beta1_profile_1.csv,0.8536127921219584,0.9994051443907187,0.9998740592037962,0.14587912928709384,0.14579235226876033,3,2.8999638743698597e-06,0.4045242003630847,0.06909050012473017,0.47361470048781484,0.4747664000024088,0.47389660053886473,6.909050012473017e-05,0.00024230004055425525,1.0399962775409222e-05,4.880002234131098e-05,0.4748261999920942,3.670004662126303e-05,1.8553987379405352,0.04466974978897194,0.21917142282163155
518,1.0,0.002235184280978358,1,datasets_sb01.npz,0.9892533012743983,0.9810027341368596,0.5592127445649542,constrained_1tok,0.04814006674692018,0.2249513957160228,1000,1000,0.5,results\constrained_1tok_beta1_profile_1.csv,0.8508152485460543,0.999351820288414,0.9998634816349218,0.14863291258076844,0.14853657174235965,4,2.6999623514711857e-06,0.3676656004972756,0.06418759882217273,0.4318531993194483,0.43284999998286366,0.4321332993567921,6.418759882217273e-05,0.0002411000314168632,9.600014891475439e-06,4.900002386420965e-05,0.4329091000254266,3.630004357546568e-05,1.4192938579838423,0.045902647281660845,0.22271397625076345
468,1.0,0.0019903947119283656,1,datasets_sb01.npz,1.0197652209478238,1.018936617704886,0.6306769202235711,constrained_1tok,0.03940798254906458,0.1780035946127256,1000,1000,0.5,results\constrained_1tok_beta1_profile_1.csv,0.8509053001467509,0.9992559172787134,0.9998838599024055,0.14846108445969244,0.14835061713196251,5,3.600027412176132e-06,0.40653659944655374,0.07087740011047572,0.47741399955702946,0.47867719997884706,0.47776949958642945,7.087740011047572e-05,0.0002992000081576407,1.0000017937272787e-05,4.480005009099841e-05,0.4787328000529669,5.269999383017421e-05,1.4088535216720766,0.03741559744242429,0.17601120950608531
462,1.0,0.002468401378362396,1,datasets_sb01.npz,0.9446349641489696,0.9504889701194997,0.4856262630990822,constrained_1tok,0.05484407216771787,0.24021095011644394,1000,1000,0.5,results\constrained_1tok_beta1_profile_1.csv,0.8510033545571765,0.9993129360145019,0.9998624699923281,0.14841154968814804,0.14830958145732537,6,3.500026650726795e-06,0.4032909998204559,0.0702839995501563,0.4735749993706122,0.47474039997905493,0.4739005994051695,7.02839995501563e-05,0.00028719997499138117,9.200011845678091e-06,5.540001438930631e-05,0.47480570001062006,3.490003291517496e-05,1.403643665198857,0.05237320238797711,0.23774008033670319
505,1.0,0.0021252419868225806,1,datasets_sb01.npz,1.3711629259648899,1.3727332236164709,0.9012734540996619,constrained_1tok,0.057475040548152556,0.22859009372413822,1000,1000,0.5,results\constrained_1tok_beta1_profile_1.csv,0.8464951235080281,0.9992148125950592,0.9998503693559347,0.15283969689200558,0.15271968908703099,7,3.00002284348011e-06,0.334851800755132,0.060411999409552664,0.39526380016468465,0.3962497999891639,0.39557440020143986,6.041199940955266e-05,0.00026699999580159783,9.599956683814526e-06,4.900002386420965e-05,0.39630909997504205,4.060001811012626e-05,1.8410523978301179,0.055347673319343156,0.2264627264953288
432,1.0,0.0018203348204559602,1,datasets_sb01.npz,0.9644616177513872,0.9688960728422482,0.528375442,constrained_1tok,0.04950311138105732,0.2321939600483383,1000,1000,0.5,results\constrained_1tok_beta1_profile_1.csv,0.85616061507913,0.9992241285637199,0.9997774404874566,0.14317459856601808,0.14306351348458984,8,3.00002284348011e-06,0.3236514004529454,0.054081799229606986,0.37773319968255237,0.3786907999892719,0.3780264996457845,5.408179922960699e-05,0.00025679997634142637,9.700015652924776e-06,7.379997987300158e-05,0.37877509999088943,3.349996404722333e-05,1.4005477935027744,0.047680956225780904,0.2303718048930619
479,1.0,0.0017674528903572615,1,datasets_sb01.npz,1.2023570129151009,1.1980133713533405,0.7401808724237272,constrained_1tok,0.055603598719154004,0.23232592519583928,1000,1000,0.5,results\constrained_1tok_beta1_profile_1.csv,0.8541301709784311,0.9992212985496124,0.9998552036717757,0.14520419829099282,0.14509112757118123,9,3.100023604929447e-06,0.33026600076118484,0.05610229924786836,0.3863683000090532,0.38738479994935915,0.3866694000316784,5.610229924786836e-05,0.00026210001669824123,8.200004231184721e-06,4.740001168102026e-05,0.3874408999690786,3.589998232200742e-05,1.6645331534064747,0.053834378375906385,0.23055670485259167
490,1.0,0.002357487263422088,1,datasets_sb01.npz,1.2440600824592623,1.244780353797728,0.808171934703863,constrained_1tok,0.049458162576435025,0.2266237692788664,1000,1000,0.5,results\constrained_1tok_beta1_profile_1.csv,0.8487499121444563,0.9992612545384891,0.9998433071911763,0.15062261416664932,0.1505113423940328,10,3.1999661587178707e-06,0.3676501985755749,0.06519650149857625,0.43284670007415116,0.4339021000196226,0.4331667000078596,6.519650149857626e-05,0.0002838000073097646,6.699992809444666e-06,6.0699996538460255e-05,0.4339701000135392,3.2999960239976645e-05,1.6799482302146616,0.04709831782574952,0.2242639245281809
474,1.0,0.0014771617202361063,1,datasets_sb01.npz,1.1366200629592884,1.134491200460885,0.699207009538767,constrained_1tok,0.049804815520268594,0.21356113421756262,1000,1000,0.5,results\constrained_1tok_beta1_profile_1.csv,0.8450820713463971,0.9993198404942782,0.9998684803638667,0.15434274683427962,0.1542377691478811,11,2.800021320581436e-06,0.34888740023598075,0.06367619917728007,0.4125635994132608,0.41357209999114275,0.41284439945593476,6.367619917728008e-05,0.00023970002075657248,7.099995855242014e-06,4.6600005589425564e-05,0.41362649999791756,3.8300000596791506e-05,1.5740331163798098,0.048326176638312256,0.21208249533560627
429,1.0,0.0021714041091548254,1,datasets_sb01.npz,1.1440734997052946,1.142274587325998,0.7307479129518528,constrained_1tok,0.04447054369665684,0.2066935164457134,1000,1000,0.5,results\constrained_1tok_beta1_profile_1.csv,0.8549517125824102,0.9977370760698475,0.9998633719436343,0.1431092087405214,0.14278536348743728,12,5.100038833916187e-06,0.38540240010479465,0.06436599983135238,0.44976839993614703,0.45152890001190826,0.4507885000202805,6.436599983135238e-05,0.00097800005460158,8.399947546422482e-06,5.269999383017421e-05,0.45159059995785356,3.6999990697950125e-05,1.5573990864587364,0.04229696818339286,0.20451994093244943
411,1.0,0.0032302401250981438,1,datasets_sb01.npz,1.1298561609711935,1.135819909992127,0.6614455163632639,constrained_1tok,0.05711384110319037,0.24474144477475315,1000,1000,0.5,results\constrained_1tok_beta1_profile_1.csv,0.8545191810774891,0.9991470251403688,0.9998437504649674,0.14475131329401802,0.14462784406287962,13,3.900029696524143e-06,0.3285939009510912,0.055614699493162334,0.38420860044425353,0.38522090000333264,0.3845366004970856,5.561469949316233e-05,0.00028710003243759274,6.999995093792677e-06,5.259999306872487e-05,0.38528109999606386,3.6999990697950125e-05,1.5982668055791232,0.05388037073796713,0.24150797440952992
511,1.0,0.00206932914439991,1,datasets_sb01.npz,0.7241909869031922,0.7254413190674124,0.2784498856552425,constrained_1tok,0.0517193693621759,0.2233787069328318,1000,1000,0.5,results\constrained_1tok_beta1_profile_1.csv,0.8483070185130458,0.9991831115734756,0.9998564937433502,0.1509994427576301,0.1508760930604298,14,2.900022082030773e-06,0.31506920052925125,0.05603679915657267,0.3711059996858239,0.37205540004651994,0.37140939972596243,5.603679915657267e-05,0.0002641999744810164,7.700000423938036e-06,4.529999569058418e-05,0.3721087999874726,3.630004357546568e-05,1.169932088151142,0.04964797088863159,0.22130730845928748
434,1.0,0.0023952861244597025,1,datasets_sb01.npz,1.3336249973608532,1.3431459859976107,0.9019384291453407,constrained_1tok,0.04850929122701121,0.2371804503350175,1000,1000,0.5,results\constrained_1tok_beta1_profile_1.csv,0.8551135837875693,0.998983948017875,0.9998453006357118,0.14401669267635864,0.14387036423030575,15,3.500026650726795e-06,0.3238493006792851,0.05448669946053997,0.37833600013982505,0.37938719999510795,0.37872080015949905,5.4486699460539964e-05,0.0003513999981805682,6.199989002197981e-06,5.200004670768976e-05,0.3794459000346251,2.989999484270811e-05,1.7653115655763656,0.04611160981642705,0.23478276892443334
410,1.0,0.0024192901775783584,1,datasets_sb01.npz,0.8597302189867497,0.8591310540197052,0.4191754800878892,constrained_1tok,0.05052282329400333,0.2446349917611769,1000,1000,0.5,results\constrained_1tok_beta1_profile_1.csv,0.8510375924455387,0.9992330055843738,0.9998695582166224,0.14830916544051415,0.1481954131388351,16,2.800021320581436e-06,0.33276140049565583,0.05794539942871779,0.3907067999243736,0.3916943999938667,0.39100669987965375,5.794539942871779e-05,0.00026319996686652303,7.099995855242014e-06,4.3599982745945454e-05,0.39174549997551367,3.389996709302068e-05,1.3002849578856104,0.04810111382624739,0.24221328229342096
441,1.0,0.0013628778577238407,1,datasets_sb01.npz,1.0547934469239102,1.0582959584971832,0.6243338255571073,constrained_1tok,0.048233935242412374,0.22242646949332467,1000,1000,0.5,results\constrained_1tok_beta1_profile_1.csv,0.8516950166054256,0.9992932241374518,0.9998574687747196,0.14770260016465817,0.14759820753202618,17,2.8999638743698597e-06,0.32415640010731295,0.05617609905311838,0.3803324991604313,0.3816163999726996,0.38060149911325425,5.617609905311838e-05,0.00022799998987466097,7.499998901039362e-06,4.650000482797623e-05,0.3816707999794744,3.809999907389283e-05,1.4852530682907132,0.04686969450683081,0.22106222875774312
461,1.0,0.003164198549369249,1,datasets_sb01.npz,1.322306182225192,1.318864824585315,0.8682012486950406,constrained_1tok,0.05367849090390028,0.23697151869658623,1000,1000,0.5,results\constrained_1tok_beta1_profile_1.csv,0.8548864772140221,0.9992751933279208,0.9998692328466542,0.14449344592757876,0.14438871611389875,18,3.00002284348011e-06,0.37518890120554715,0.06336869887309149,0.43855760007863864,0.43965559999924153,0.4388757001142949,6.336869887309149e-05,0.00028200005181133747,7.399998139590025e-06,4.9600028432905674e-05,0.4397131000296213,3.309996100142598e-05,1.7764111157553435,0.05051112815598167,0.2338041559486676
447,1.0,0.0022617301702998185,1,datasets_sb01.npz,1.3633376383014175,1.3610735833902556,0.9600816569190221,constrained_1tok,0.04233011935669482,0.20054570913943456,1000,1000,0.5,results\constrained_1tok_beta1_profile_1.csv,0.8555082281599323,0.999200573017736,0.9998225849646093,0.14380730830030566,0.14369234485780363,19,3.0999653972685337e-06,0.3166579009848647,0.053186298871878535,0.3698441998567432,0.3708155000349507,0.37014009983977303,5.3186298871878535e-05,0.00025450001703575253,9.199953638017178e-06,5.5999960750341415e-05,0.37088129995390773,3.8300000596791506e-05,1.766593619683813,0.040066127456224704,0.19828171723896446
441,1.0,0.0016346480191042738,1,datasets_sb01.npz,1.1014546634008076,1.0972646188748287,0.6855848432083111,constrained_1tok,0.04501970724358062,0.23047764689837688,1000,1000,0.5,results\constrained_1tok_beta1_profile_1.csv,0.852022593101937,0.9990578262662236,0.9998078675215784,0.14717389654390786,0.14703523316428668,20,3.700028173625469e-06,0.32781449938192964,0.056571600027382374,0.384386099409312,0.3855974999605678,0.3847485994338058,5.657160002738237e-05,0.00032190000638365746,9.400013368576765e-06,6.390002090483904e-05,0.3856716000009328,3.689998993650079e-05,1.517324483593304,0.04338342457645724,0.2288413642312535
501,1.0,0.0027170740164333836,0,datasets_sb01.npz,1.4934381191991495,1.5043207764350086,1.0136963387977749,constrained_1tok,0.05991049975600812,0.2497377989807711,1000,1000,0.5,results\constrained_1tok_beta1_profile_1.csv,0.8593502705450856,0.9991815991525438,0.9998408296408997,0.13994586041822243,0.13983132860745817,21,3.00002284348011e-06,0.33412140054861084,0.05436739936703816,0.388488799915649,0.3894577999599278,0.38880699989385903,5.436739936703816e-05,0.00027819996466860175,8.300004992634058e-06,5.3099996875971556e-05,0.3895197999663651,3.6999990697950125e-05,1.973179899600524,0.05719070866555831,0.24701800789032127
473,1.0,0.0029187561398263343,1,datasets_sb01.npz,1.250791544763244,1.2514356505104918,0.8085708963866518,constrained_1tok,0.05090563875744835,0.2322218365246717,1000,1000,0.5,results\constrained_1tok_beta1_profile_1.csv,0.8596225779259566,0.9992037170081937,0.9998190622579374,0.1396923737435341,0.13958113908223707,22,3.0999653972685337e-06,0.33811319939559326,0.054901100462302566,0.3930142998578958,0.3939869999885559,0.39332749985624105,5.490110046230257e-05,0.00027469999622553587,7.299997378140688e-06,6.340001709759235e-05,0.39405830000760034,3.5400036722421646e-05,1.6930121931398363,0.04798396386148219,0.22930016162870556
