beta,bwVar,covers_true,dataset_file,est,est_med,estdiff,ll,method,miVar,miVarpaired,n_mcmc,pstar,result_file,sim,ul,wiVar,wiVarpaired
1.0,0.033422448878323886,1,datasets_sb01.npz,0.7348122717761923,0.735924240370543,0.7348122717761919,0.06224850664646597,unconstrained_1to1,0.1177483387561104,0.11696257932199508,1000,0.5,results\unconstrained_1to1_beta1_1.csv,37,1.4073760369059187,0.0842924674289082,0.08350670799479287
1.0,0.0427473122301606,1,datasets_sb01.npz,0.9505023099463444,0.9533703800941445,0.9505023099463408,0.27433401461482887,unconstrained_1to1,0.11901383892428358,0.11859458621357516,1000,0.5,results\unconstrained_1to1_beta1_1.csv,38,1.6266706052778601,0.07622377938189283,0.0758045266711844
1.0,0.04393744652395882,1,datasets_sb01.npz,1.1233585451567538,1.1217992199313045,1.123358545156753,0.45013147903275186,unconstrained_1to1,0.11798070662274349,0.11752710985372294,1000,0.5,results\unconstrained_1to1_beta1_1.csv,39,1.7965856112807557,0.07399932265226072,0.07354572588324017
1.0,0.03925032021125536,1,datasets_sb01.npz,1.3384161252536853,1.3329773877676387,1.338416125253686,0.6954291046373839,unconstrained_1to1,0.10761982212646501,0.10656859761210685,1000,0.5,results\unconstrained_1to1_beta1_1.csv,40,1.9814031458699866,0.0683302515949984,0.06727902708064024
1.0,0.04887053417793746,1,datasets_sb01.npz,1.0971914247968535,1.092137070725749,1.0971914247968515,0.3893196708848582,unconstrained_1to1,0.1304358652609445,0.12733129610293178,1000,0.5,results\unconstrained_1to1_beta1_1.csv,41,1.8050631787088487,0.08151646054882912,0.07841189139081639
1.0,0.035486408640942706,1,datasets_sb01.npz,0.8812773905505085,0.8879249500468134,0.8812773905505071,0.23296790039670323,unconstrained_1to1,0.10940889083285271,0.10956245787532956,1000,0.5,results\unconstrained_1to1_beta1_1.csv,42,1.5295868807043136,0.07388699578326907,0.07404056282574592
1.0,0.02970306547014598,1,datasets_sb01.npz,0.7605276479795371,0.7672136544016765,0.7605276479795395,0.13536992986485374,unconstrained_1to1,0.10173421816908523,0.10204602501844118,1000,0.5,results\unconstrained_1to1_beta1_1.csv,43,1.3856853660942203,0.0720014496334691,0.07231325648282505
1.0,0.026175933784853316,1,datasets_sb01.npz,1.294126202100252,1.2946750315833357,1.2941262021002478,0.7326239373480273,unconstrained_1to1,0.08207121858649455,0.08177067667908765,1000,0.5,results\unconstrained_1to1_beta1_1.csv,44,1.8556284668524765,0.05586910886785638,0.05556856696044948
1.0,0.03891262922505341,1,datasets_sb01.npz,1.3968892999335671,1.402009130325903,1.3968892999335667,0.6885301378240816,unconstrained_1to1,0.1306155514745035,0.12966909654961323,1000,0.5,results\unconstrained_1to1_beta1_1.csv,45,2.1052484620430527,0.09166400962022501,0.09071755469533477
1.0,0.027436258241662136,1,datasets_sb01.npz,0.9926477876497313,0.9996299399209566,0.9926477876497304,0.4238588131630344,unconstrained_1to1,0.08421514407997405,0.08378209560973153,1000,0.5,results\unconstrained_1to1_beta1_1.csv,46,1.5614367621364282,0.056751449580070244,0.056318401109827734
1.0,0.026512530291568373,1,datasets_sb01.npz,1.1824581094668019,1.1859191448508906,1.1824581094668052,0.5939224712682922,unconstrained_1to1,0.09016404556167404,0.09032618716438526,1000,0.5,results\unconstrained_1to1_beta1_1.csv,47,1.7709937476653115,0.0636250027398141,0.06378714434252532
1.0,0.04652212869291536,1,datasets_sb01.npz,1.1973165678439122,1.1946273128704354,1.1973165678439126,0.5038992449810578,unconstrained_1to1,0.125163365172399,0.12389218547640936,1000,0.5,results\unconstrained_1to1_beta1_1.csv,48,1.8907338907067666,0.07859471435079074,0.07732353465480109
1.0,0.02490357711859237,1,datasets_sb01.npz,1.3240067987167519,1.3242335473281217,1.3240067987167556,0.7861773264554426,unconstrained_1to1,0.07529689224096169,0.07459172949672004,1000,0.5,results\unconstrained_1to1_beta1_1.csv,49,1.8618362709780611,0.05036841154525072,0.04966324880100908
1.0,0.0356177731087432,1,datasets_sb01.npz,0.6086579834715221,0.6043594563043029,0.6086579834715228,-0.026330993768389765,unconstrained_1to1,0.10495913192841244,0.10504734412686065,1000,0.5,results\unconstrained_1to1_beta1_1.csv,50,1.243646960711434,0.0693057410465605,0.06939395324500872
1.0,0.0390757999292566,1,datasets_sb01.npz,1.0247965029143924,1.0275611080707012,1.0247965029143942,0.37960073952649187,unconstrained_1to1,0.108360467798234,0.10823940231229537,1000,0.5,results\unconstrained_1to1_beta1_1.csv,51,1.6699922663022928,0.06924559206904814,0.06912452658310951
1.0,0.03768927805169872,1,datasets_sb01.npz,1.3305803318640441,1.331798193045905,1.3305803318640428,0.7189269245838216,unconstrained_1to1,0.09738647715470267,0.09757828038759367,1000,0.5,results\unconstrained_1to1_beta1_1.csv,52,1.9422337391442666,0.059659509824952245,0.05985131305784325
1.0,0.03553583233819199,1,datasets_sb01.npz,0.550819156417788,0.5475927517841874,0.5508191564177853,-0.06447425560276487,unconstrained_1to1,0.09854903760826059,0.09775474524838257,1000,0.5,results\unconstrained_1to1_beta1_1.csv,53,1.1661125684383409,0.06297766943773041,0.06218337707785239
1.0,0.03245439561905078,1,datasets_sb01.npz,1.1115631863849986,1.1172304553501478,1.1115631863850002,0.4898829243182149,unconstrained_1to1,0.10060556753525221,0.10035225913737603,1000,0.5,results\unconstrained_1to1_beta1_1.csv,54,1.7332434484517822,0.06811871752058238,0.06786540912270621
1.0,0.042328897832924366,1,datasets_sb01.npz,0.9624515993597341,0.9627671466455929,0.9624515993597338,0.2665307563489111,unconstrained_1to1,0.12606877856541404,0.1254717557382021,1000,0.5,results\unconstrained_1to1_beta1_1.csv,55,1.658372442370557,0.08369755183465674,0.08310052900744481
