sim,tau_hat,running_mean_tau,running_bias,running_abs_bias,accepted_iteration_rate,accepted_row_update_rate,n_mcmc,k,beta,dataset_file
1,0.8815867783130062,0.8815867783130062,-0.11841322168699375,0.11841322168699375,1.0,0.8493333333333334,500,2,1.0,datasets_sb01_10000.npz
2,1.0602503379377723,0.9709185581253893,-0.029081441874610703,0.029081441874610703,1.0,0.8450666666666666,500,2,1.0,datasets_sb01_10000.npz
3,1.4497806669044553,1.1305392610517446,0.13053926105174463,0.13053926105174463,1.0,0.8468666666666667,500,2,1.0,datasets_sb01_10000.npz
4,1.0091166729257386,1.1001836140202432,0.10018361402024323,0.10018361402024323,1.0,0.843,500,2,1.0,datasets_sb01_10000.npz
5,0.9834163266053703,1.0768301565372687,0.07683015653726866,0.07683015653726866,1.0,0.8310666666666666,500,2,1.0,datasets_sb01_10000.npz
6,0.9417061135761358,1.0543094827104131,0.05430948271041314,0.05430948271041314,1.0,0.8453333333333334,500,2,1.0,datasets_sb01_10000.npz
7,1.3538112511811475,1.0970954496348038,0.09709544963480377,0.09709544963480377,1.0,0.8374666666666667,500,2,1.0,datasets_sb01_10000.npz
8,0.9611506512820795,1.0801023498407132,0.08010234984071318,0.08010234984071318,1.0,0.856,500,2,1.0,datasets_sb01_10000.npz
9,1.2231562367813222,1.0959972261674475,0.09599722616744755,0.09599722616744755,1.0,0.8524,500,2,1.0,datasets_sb01_10000.npz
10,1.261652569136601,1.1125627604643629,0.11256276046436287,0.11256276046436287,1.0,0.8388666666666666,500,2,1.0,datasets_sb01_10000.npz
11,1.096869159554309,1.1111360694725398,0.11113606947253984,0.11113606947253984,1.0,0.848,500,2,1.0,datasets_sb01_10000.npz
12,1.1284935066332862,1.1125825225692687,0.1125825225692687,0.1125825225692687,1.0,0.8390666666666666,500,2,1.0,datasets_sb01_10000.npz
13,1.101574235636882,1.1117357312667775,0.1117357312667775,0.1117357312667775,1.0,0.8371333333333333,500,2,1.0,datasets_sb01_10000.npz
14,0.7342160025018215,1.0847700363549948,0.0847700363549948,0.0847700363549948,1.0,0.8496,500,2,1.0,datasets_sb01_10000.npz
15,1.3499655711903857,1.1024497386773542,0.10244973867735419,0.10244973867735419,1.0,0.8507333333333333,500,2,1.0,datasets_sb01_10000.npz
16,0.8696451196850347,1.0878994499903343,0.08789944999033428,0.08789944999033428,1.0,0.8540666666666666,500,2,1.0,datasets_sb01_10000.npz
17,1.048370126428645,1.085574195663176,0.08557419566317592,0.08557419566317592,1.0,0.8377333333333333,500,2,1.0,datasets_sb01_10000.npz
18,1.3135661762097361,1.0982404168046516,0.09824041680465156,0.09824041680465156,1.0,0.8378666666666666,500,2,1.0,datasets_sb01_10000.npz
19,1.3550383786524158,1.1117560990071655,0.11175609900716554,0.11175609900716554,1.0,0.8561333333333333,500,2,1.0,datasets_sb01_10000.npz
20,1.088052498313055,1.11057091897246,0.11057091897245996,0.11057091897245996,1.0,0.8611333333333333,500,2,1.0,datasets_sb01_10000.npz
21,1.4902622317989633,1.1286514576784838,0.12865145767848385,0.12865145767848385,1.0,0.8511333333333333,500,2,1.0,datasets_sb01_10000.npz
22,1.262146146690726,1.1347193980881312,0.13471939808813116,0.13471939808813116,1.0,0.8611333333333333,500,2,1.0,datasets_sb01_10000.npz
23,0.8308503386161754,1.12150769985022,0.12150769985022003,0.12150769985022003,1.0,0.8551333333333333,500,2,1.0,datasets_sb01_10000.npz
24,0.800445751575386,1.108130118672102,0.10813011867210198,0.10813011867210198,1.0,0.8434,500,2,1.0,datasets_sb01_10000.npz
25,1.2987644314621118,1.1157554911837024,0.11575549118370243,0.11575549118370243,1.0,0.8469333333333333,500,2,1.0,datasets_sb01_10000.npz
26,0.9488650932761286,1.1093366297257188,0.10933662972571878,0.10933662972571878,1.0,0.8512666666666666,500,2,1.0,datasets_sb01_10000.npz
27,0.9787219170760204,1.10449904777573,0.10449904777572994,0.10449904777572994,1.0,0.8438,500,2,1.0,datasets_sb01_10000.npz
28,0.9739791321887461,1.0998376222190518,0.09983762221905179,0.09983762221905179,1.0,0.8413333333333334,500,2,1.0,datasets_sb01_10000.npz
29,0.7671130018263639,1.0883643594468901,0.08836435944689014,0.08836435944689014,1.0,0.848,500,2,1.0,datasets_sb01_10000.npz
30,0.9795098224183589,1.0847358748792724,0.08473587487927237,0.08473587487927237,1.0,0.8342666666666667,500,2,1.0,datasets_sb01_10000.npz
31,0.4764292073462367,1.0651130791524002,0.06511307915240017,0.06511307915240017,1.0,0.8472,500,2,1.0,datasets_sb01_10000.npz
32,1.0844844479752767,1.0657184344281152,0.0657184344281152,0.0657184344281152,1.0,0.8445333333333334,500,2,1.0,datasets_sb01_10000.npz
33,0.755840660842401,1.0563281988649118,0.056328198864911805,0.056328198864911805,1.0,0.8363333333333334,500,2,1.0,datasets_sb01_10000.npz
34,0.7932721529974912,1.0485912563393993,0.048591256339399314,0.048591256339399314,1.0,0.8414,500,2,1.0,datasets_sb01_10000.npz
35,0.6725252829037434,1.0378465142412376,0.03784651424123764,0.03784651424123764,1.0,0.8564,500,2,1.0,datasets_sb01_10000.npz
36,0.7037720641687909,1.0285666684058918,0.028566668405891837,0.028566668405891837,1.0,0.8437333333333333,500,2,1.0,datasets_sb01_10000.npz
37,0.7404132827277429,1.0207787390632392,0.020778739063239238,0.020778739063239238,1.0,0.8408,500,2,1.0,datasets_sb01_10000.npz
38,0.9458422610495315,1.0188067264839311,0.018806726483931113,0.018806726483931113,1.0,0.8530666666666666,500,2,1.0,datasets_sb01_10000.npz
39,1.1379768316925294,1.0218623702072285,0.021862370207228476,0.021862370207228476,1.0,0.8361333333333333,500,2,1.0,datasets_sb01_10000.npz
40,1.3309522554992934,1.02958961733953,0.029589617339530028,0.029589617339530028,1.0,0.8394,500,2,1.0,datasets_sb01_10000.npz
41,1.0913547561824248,1.0310960841405763,0.031096084140576297,0.031096084140576297,1.0,0.8488666666666667,500,2,1.0,datasets_sb01_10000.npz
42,0.8895022628468783,1.0277248026812025,0.027724802681202476,0.027724802681202476,1.0,0.8381333333333333,500,2,1.0,datasets_sb01_10000.npz
43,0.7717813360330497,1.0217726290382223,0.021772629038222302,0.021772629038222302,1.0,0.85,500,2,1.0,datasets_sb01_10000.npz
44,1.2858239395879827,1.0277737951870805,0.027773795187080452,0.027773795187080452,1.0,0.8495333333333334,500,2,1.0,datasets_sb01_10000.npz
45,1.3950941540211022,1.0359364698278364,0.03593646982783638,0.03593646982783638,1.0,0.8433333333333334,500,2,1.0,datasets_sb01_10000.npz
46,0.9922882338857784,1.034987595133444,0.03498759513344396,0.03498759513344396,1.0,0.8530666666666666,500,2,1.0,datasets_sb01_10000.npz
47,1.198948195882853,1.0384761185536442,0.03847611855364419,0.03847611855364419,1.0,0.8498,500,2,1.0,datasets_sb01_10000.npz
48,1.1955802594786653,1.0417491214895822,0.04174912148958221,0.04174912148958221,1.0,0.8453333333333334,500,2,1.0,datasets_sb01_10000.npz
