beta,bwVar,change_count,changed_iteration_count,covers_true,dataset_file,est,est_med,estdiff,ll,method,miVar,miVarclus,miVarpaired,n_mcmc,n_sampling_draws,pstar,result_file,share_estimation_in_method,share_mcmc_in_method,share_method_in_sim,share_sampling_in_mcmc,share_sampling_in_method,sim,time_allocation,time_mcmc_estimation,time_mcmc_sampling,time_mcmc_total,time_method_call,time_method_total,time_per_sampling_draw,time_setup,time_sim_post,time_sim_prep,time_sim_total,time_summary,ul,wiVar,wiVarclus,wiVarpaired
1.0,0.015524250604468102,28827,1000,1,datasets_sb01.npz,0.8739683901533389,0.8740944000555037,0.8739683901533352,0.3296586958694565,constrained_1to1_gibbs,0.07712230406377903,0.25768556869896514,0.0768145392566196,1000,30000,0.5,results\constrained_1to1_gibbs_beta1_profile_1.csv,0.6775493461427123,0.9940624968554503,0.9976342480755191,0.318403673525532,0.31651315071273795,1,4.449998959898949e-05,0.32550879870541394,0.15205950097879395,0.4775682996842079,0.4830978999962099,0.4804207996930927,5.068650032626465e-06,0.002276000042911619,0.00017529999604448676,0.0009688999853096902,0.48424349998822436,0.0005319999763742089,1.4182780844372214,0.06158252920870646,0.2421457938438926,0.061274764401547034
1.0,0.019427463472965895,28567,1000,1,datasets_sb01.npz,1.0484345756514877,1.050909788094132,1.048434575651489,0.4184773253468004,constrained_1to1_gibbs,0.10330230560481116,0.2927888094816338,0.09765997794012987,1000,30000,0.5,results\constrained_1to1_gibbs_beta1_profile_1.csv,0.6527222239970581,0.9992575791749028,0.9998066512216209,0.34679282139043915,0.3465353551778446,2,1.6200006939470768e-05,0.25373160088201985,0.13470809970749542,0.38843970058951527,0.38937600003555417,0.38872830057516694,4.490269990249847e-06,0.00023509998572990298,1.0699965059757233e-05,6.359996041283011e-05,0.38945129996864125,3.7299992982298136e-05,1.678391825956175,0.0838554146683723,0.27334191854519496,0.07821308700369102
1.0,0.017738549150241006,28709,1000,1,datasets_sb01.npz,1.4276483155302249,1.4276969809780273,1.4276483155302198,0.8547189723287881,constrained_1to1_gibbs,0.08544565605508894,0.2663263605240824,0.08236665948621512,1000,30000,0.5,results\constrained_1to1_gibbs_beta1_profile_1.csv,0.6540875116500138,0.9992528539855416,0.9998168485941105,0.3454234240701224,0.3451653423355278,3,1.3199984095990658e-05,0.26307209994411096,0.13882449950324371,0.4018965994473547,0.4028714000014588,0.4021970994072035,4.6274833167747906e-06,0.0001973999897018075,1.769996015354991e-05,5.530001362785697e-05,0.4029451999813318,8.9899986051023e-05,2.0005776587316615,0.0676893683556977,0.24857007282469112,0.06461037178682387
1.0,0.020442696778974003,28728,1000,1,datasets_sb01.npz,0.9938152419597834,0.9959821397393016,0.9938152419597784,0.40801443790174174,constrained_1to1_gibbs,0.08932803572340905,0.2777013255775626,0.08963253497745441,1000,30000,0.5,results\constrained_1to1_gibbs_beta1_profile_1.csv,0.6656321017682938,0.9993916629591999,0.9998384422687536,0.3339627230856056,0.33375956119090616,4,1.2399978004395962e-05,0.2726703999796882,0.13672170077916235,0.4093921007588506,0.4103132000309415,0.4096413007355295,4.557390025972078e-06,0.00019729998894035816,1.1000025551766157e-05,5.440000677481294e-05,0.4103795000119135,3.950000973418355e-05,1.5796160460178252,0.06886489624765608,0.25723818610180965,0.06916939550170144
1.0,0.015975438394549644,28754,1000,1,datasets_sb01.npz,0.9981688570817341,0.9967482111477786,0.9981688570817292,0.47211413792243084,constrained_1to1_gibbs,0.07203601820849996,0.2453073238786542,0.07097369034440737,1000,30000,0.5,results\constrained_1to1_gibbs_beta1_profile_1.csv,0.662646654105693,0.9993754402445095,0.9998247977758903,0.3369392248186844,0.33672878613881646,5,1.190003240481019e-05,0.2778712000581436,0.14120230037951842,0.419073500437662,0.42001259996322915,0.41933540045283735,4.7067433459839475e-06,0.0002145000034943223,1.0000017937272787e-05,6.280001252889633e-05,0.4200861999997869,3.549997927621007e-05,1.5242235762410372,0.056044604375555765,0.22931591004571,0.054982276511463174
1.0,0.02245964907373664,28634,1000,1,datasets_sb01.npz,0.944171689577355,0.9459411205400228,0.9441716895773521,0.32529866582573663,constrained_1to1_gibbs,0.09969903673663871,0.29093201068592744,0.09787985766964713,1000,30000,0.5,results\constrained_1to1_gibbs_beta1_profile_1.csv,0.6594036374291485,0.9992223793456014,0.9998424124059241,0.3400831976351479,0.3398187419164529,6,1.1300027836114168e-05,0.2643989005009644,0.13625599956139922,0.4006549000623636,0.4016178000019863,0.40096670005004853,4.54186665204664e-06,0.0001919999485835433,1.109996810555458e-05,5.139998393133283e-05,0.4016810999601148,0.00010850001126527786,1.5630447133289733,0.07721692801382835,0.2684499019631171,0.07539774894683676
1.0,0.02103415106680101,28838,1000,1,datasets_sb01.npz,1.3488089537354413,1.3482895541572772,1.3488089537354404,0.7196428603135853,constrained_1to1_gibbs,0.10304299591621191,0.2915735023914027,0.09754622326110993,1000,30000,0.5,results\constrained_1to1_gibbs_beta1_profile_1.csv,0.6544877300507328,0.9993584919972351,0.9998324605939612,0.3450921413168484,0.3448707619465024,7,1.2000033166259527e-05,0.2628121007583104,0.13848419958958402,0.40129630034789443,0.40222629997879267,0.4015539003885351,4.6161399863194675e-06,0.00019940000493079424,1.0700023267418146e-05,5.590001819655299e-05,0.40229370002634823,4.6200002543628216e-05,1.9779750471572974,0.0819878106983441,0.27051831717353486,0.07649103804324212
1.0,0.014396174961759605,28644,1000,1,datasets_sb01.npz,0.953745394399845,0.9493411186072366,0.9537453943998401,0.3771074933007196,constrained_1to1_gibbs,0.08655541154310827,0.2754960672232839,0.08566671838019793,1000,30000,0.5,results\constrained_1to1_gibbs_beta1_profile_1.csv,0.6553472932966705,0.9993071308156196,0.9998251613886681,0.3441983219295296,0.3439598375189492,8,1.4699995517730713e-05,0.26076970010763034,0.13686529966071248,0.3976349997683428,0.3985837000072934,0.3979106998303905,4.562176655357083e-06,0.00022380001610144973,1.0800024028867483e-05,5.7699973694980145e-05,0.3986534000141546,3.720005042850971e-05,1.5303832954989702,0.0721448404063869,0.26108549608656256,0.07125614724347656
1.0,0.0218453961120528,28794,1000,1,datasets_sb01.npz,1.2323444328556599,1.231160037794408,1.2323444328556574,0.6034771698661207,constrained_1to1_gibbs,0.10294513600061284,0.29820557573968615,0.10173137889517747,1000,30000,0.5,results\constrained_1to1_gibbs_beta1_profile_1.csv,0.6538800694823844,0.9990351111087314,0.9998455817595252,0.3454883995451302,0.34515504162634697,9,1.3499986380338669e-05,0.2637506992323324,0.1392226003226824,0.4029732995550148,0.4040349999559112,0.40336249954998493,4.6407533440894135e-06,0.0003383000148460269,8.600007276982069e-06,5.339999916031957e-05,0.4040973999653943,3.739999374374747e-05,1.8612116958451992,0.08107789449244798,0.2763383342315213,0.07986413738701262
1.0,0.02259468747121052,28697,1000,1,datasets_sb01.npz,1.244567195128511,1.2464090886322852,1.2445671951285102,0.6464679734235791,constrained_1to1_gibbs,0.09311814842879149,0.2810965530967773,0.09248498639804847,1000,30000,0.5,results\constrained_1to1_gibbs_beta1_profile_1.csv,0.669825832236176,0.9994034979917505,0.9998483590061646,0.32977437683362504,0.32957766575557457,10,1.2899981811642647e-05,0.29499189933994785,0.14514630060875788,0.44013819994870573,0.4411062000435777,0.44040089996997267,4.838210020291929e-06,0.00020920002134516835,8.400005754083395e-06,5.7699973694980145e-05,0.4411730999709107,4.060001811012626e-05,1.8426664168334432,0.07050086627010975,0.25847927093809553,0.06986770423936674
