acceptance_count,beta,bwVar,covers_true,dataset_file,est,est_med,estdiff,ll,method,miVar,miVarpaired,n_mcmc,n_sampling_draws,pstar,result_file,share_estimation_in_method,share_mcmc_in_method,share_method_in_sim,share_sampling_in_mcmc,share_sampling_in_method,sim,time_allocation,time_mcmc_estimation,time_mcmc_sampling,time_mcmc_total,time_method_call,time_method_total,time_per_sampling_draw,time_setup,time_sim_post,time_sim_prep,time_sim_total,time_summary,ul,wiVar,wiVarpaired
1000,1.0,0.012409536876005156,1,datasets_sb01.npz,0.8734538033232926,0.8772435995624074,0.8734538033232898,0.4079344265410692,unconstrained_1tok,0.0564109460015904,0.06054622058595095,1000,30000,0.5,results\unconstrained_1tok_beta1_profile_2.csv,0.38994646896444873,0.9988954645378102,0.9993636070089936,0.6096223450720368,0.6089489955733615,1,8.100061677396297e-06,0.11244359915144742,0.17559440131299198,0.2880380004644394,0.28925959998741746,0.28835650044493377,5.853146710433066e-06,0.000269699958153069,1.9700033590197563e-05,0.00016259995754808187,0.2894437999930233,4.069996066391468e-05,1.338973180105516,0.04398899958870924,0.048124274173069796
1000,1.0,0.016203065532953056,1,datasets_sb01.npz,1.06207555980133,1.0595894982208724,1.0620755598013327,0.5260546873472363,unconstrained_1tok,0.07479133061912951,0.08258066499757605,1000,30000,0.5,results\unconstrained_1tok_beta1_profile_2.csv,0.3782759040626573,0.9993033571010587,0.9997611223904483,0.6214603890053753,0.6210274530384013,2,4.599918611347675e-06,0.10827379883266985,0.17775650206021965,0.2860303008928895,0.28710750001482666,0.28622970078140497,5.9252167353406545e-06,0.00016739999409765005,9.699957445263863e-06,5.809997674077749e-05,0.2871760999551043,2.7399975806474686e-05,1.5980964322554239,0.05857206202064351,0.06636139639909004
1000,1.0,0.016581698540195606,1,datasets_sb01.npz,1.4321359191690763,1.4335973457199156,1.432135919169073,0.9285749254379764,unconstrained_1tok,0.0660073079986081,0.06698968472221004,1000,30000,0.5,results\unconstrained_1tok_beta1_profile_2.csv,0.3182332314895911,0.9992818999370906,0.9997469647581287,0.681538080986331,0.6810486684474996,3,4.09991480410099e-06,0.08061080065090209,0.17251459939870983,0.2531254000496119,0.2544456999748945,0.2533073000377044,5.750486646623661e-06,0.00014870008453726768,1.0899966582655907e-05,5.280005279928446e-05,0.2545100999996066,2.9099988751113415e-05,1.9356969129001764,0.049409027759872305,0.050391404483474234
1000,1.0,0.01848169276546396,1,datasets_sb01.npz,1.0133455063085335,1.01016224452367,1.0133455063085293,0.4911601401401433,unconstrained_1tok,0.07098020528957094,0.06927555904766566,1000,30000,0.5,results\unconstrained_1tok_beta1_profile_2.csv,0.45428045933062317,0.9994025048515283,0.999794783747682,0.5454479480235931,0.5451220455209052,4,4.00003045797348e-06,0.1565474992385134,0.18785200035199523,0.34439949959050864,0.3454181000124663,0.34460539964493364,6.261733345066508e-06,0.0001666999887675047,1.2399978004395962e-05,5.7699973694980145e-05,0.3454889999702573,3.520003519952297e-05,1.5355308724769237,0.05248003083134153,0.05077538458943624
1000,1.0,0.013163788618779466,1,datasets_sb01.npz,0.9974200647307143,0.9955246259702459,0.9974200647307093,0.5360602757206967,unconstrained_1tok,0.05540734457397126,0.05374926407912693,1000,30000,0.5,results\unconstrained_1tok_beta1_profile_2.csv,0.3131671575532175,0.99907004222163,0.9997121271547238,0.6865413391269061,0.6859028846684124,5,4.299916326999664e-06,0.07762179942801595,0.17000830022152513,0.24763009964954108,0.24864959996193647,0.24786059954203665,5.666943340717505e-06,0.0001716000260785222,1.0600080713629723e-05,6.019999273121357e-05,0.2487212000414729,5.45999500900507e-05,1.458779853740732,0.04223039216657301,0.040572311671728686
1000,1.0,0.018797855090607184,1,datasets_sb01.npz,0.9562255030937722,0.9576097098829408,0.9562255030937702,0.4125705515099434,unconstrained_1tok,0.07693687692149503,0.07420827236081692,1000,30000,0.5,results\unconstrained_1tok_beta1_profile_2.csv,0.31445100307935137,0.9991337199872393,0.9997244152543902,0.6852763581201449,0.684682716907888,6,4.09991480410099e-06,0.07880510052200407,0.17158949980512261,0.2503946003271267,0.25139580003451556,0.25061170023400337,5.719649993504087e-06,0.0001537000061944127,1.1499971151351929e-05,5.6999968364834785e-05,0.25146509998012334,5.9299985878169537e-05,1.499880454677601,0.058120223975797254,0.05539161941511913
1000,1.0,0.015266160979231608,1,datasets_sb01.npz,1.3615199263144349,1.3638762344884439,1.3615199263144346,0.823920439196126,unconstrained_1tok,0.07523250951423073,0.0771533488843973,1000,30000,0.5,results\unconstrained_1tok_beta1_profile_2.csv,0.3549719579543312,0.9992653163273532,0.9997430141331403,0.6447670582033446,0.644293358373022,7,4.300032742321491e-06,0.09692250203806907,0.17591959855053574,0.2728421005886048,0.27387489995453507,0.273042700602673,5.863986618351191e-06,0.000166199984960258,1.070008147507906e-05,5.889998283237219e-05,0.2739453000249341,3.0099996365606785e-05,1.8991194134327438,0.05995108237401989,0.061871921744186466
1000,1.0,0.012817022025299434,1,datasets_sb01.npz,0.9653512492419148,0.9660145124126952,0.9653512492419111,0.47819043226517427,unconstrained_1tok,0.0617778169506053,0.07042003438207564,1000,30000,0.5,results\unconstrained_1tok_beta1_profile_2.csv,0.3525153967323519,0.9992480576298588,0.9997483672289061,0.6472193325364155,0.6467326608975069,8,4.00003045797348e-06,0.08977640001103282,0.16470579896122217,0.254482198972255,0.2554668999509886,0.2546736989170313,5.490193298707406e-06,0.00015839992556720972,1.1499971151351929e-05,5.200004670768976e-05,0.2555311999749392,2.9099988751113415e-05,1.4525120662186555,0.04894797790328057,0.05759019533475091
1000,1.0,0.019395795316669847,1,datasets_sb01.npz,1.2034477841953926,1.2005729886952232,1.2034477841953926,0.6547728835184351,unconstrained_1tok,0.07836426141005547,0.0788976622083779,1000,30000,0.5,results\unconstrained_1tok_beta1_profile_2.csv,0.3507480610547066,0.9992353809051336,0.99973526872324,0.6489835450612349,0.6484873198504271,9,3.8000289350748062e-06,0.0861023006727919,0.1591918998165056,0.2452942004892975,0.24622239999007434,0.24548190063796937,5.306396660550187e-06,0.00015590002294629812,8.299946784973145e-06,5.630007945001125e-05,0.24628760002087802,2.8000096790492535e-05,1.75212268487235,0.05894907029806895,0.05948247109639138
1000,1.0,0.01887105179914243,1,datasets_sb01.npz,1.2794100426757251,1.2776395471733601,1.2794100426757233,0.7459727069788534,unconstrained_1tok,0.07407210306002107,0.06686440230644788,1000,30000,0.5,results\unconstrained_1tok_beta1_profile_2.csv,0.35448220638214756,0.9991570633597648,0.9997478572293581,0.6452187354907286,0.6446748569776173,10,4.200031980872154e-06,0.09066680015530437,0.164890099898912,0.2555569000542164,0.25653560005594045,0.25577250006608665,5.496336663297067e-06,0.00018169998656958342,8.899951353669167e-06,5.519995465874672e-05,0.25660029996652156,2.9699993319809437e-05,1.812847378372597,0.05518218020907951,0.04797447945550632
