mcmc_iter,n_sim,mean_tau,sd_tau,q05_tau,q95_tau,mean_acceptance_rate,mean_row_update_rate,bias,abs_bias,se_tau
100,1000,1.0628450771455897,0.2278609231372184,0.7089745548962825,1.4188776260971312,1.0,0.8377226666666666,0.06284507714558973,0.06284507714558973,0.007205595068621699
200,1000,1.0645699700942635,0.22731095170099264,0.7074173328282479,1.4220795892924671,1.0,0.8435495,0.06456997009426346,0.06456997009426346,0.0071882034447566245
300,1000,1.0649824165902682,0.22699799839347107,0.7071305091399318,1.4237428381268378,1.0,0.8454477777777778,0.06498241659026815,0.06498241659026815,0.007178306992226113
400,1000,1.0655217573505305,0.22691317865948604,0.7060594799558376,1.4231587438648012,1.0,0.8464791666666667,0.06552175735053045,0.06552175735053045,0.00717562475672689
500,1000,1.0655377100873618,0.22674061485935215,0.7039601267552573,1.4270593576446329,1.0,0.8471024,0.06553771008736176,0.06553771008736176,0.007170167810225718
600,1000,1.0657467181213138,0.22663655771767374,0.7072954636184854,1.426785257320897,1.0,0.8475302777777778,0.06574671812131383,0.06574671812131383,0.007166877234480612
700,1000,1.0658979666022959,0.2266806799051308,0.705338112273516,1.426620829182143,1.0,0.8478450952380953,0.06589796660229585,0.06589796660229585,0.007168272500557744
800,1000,1.065893748129314,0.22655958697087256,0.7085981807065529,1.4253554579421375,1.0,0.8481014166666666,0.06589374812931403,0.06589374812931403,0.007164443205749653
900,1000,1.0659762072439483,0.22654210252291962,0.708736116828863,1.4269661859058755,1.0,0.8483383703703704,0.06597620724394826,0.06597620724394826,0.007163890298958034
1000,1000,1.065820142201574,0.22653505716911507,0.7069990190411719,1.4278837807816458,1.0,0.8484615999999999,0.06582014220157406,0.06582014220157406,0.007163667505308593
