sim,sampler,mcmc_iter,tau_current,running_tau,accepted_iteration_rate,accepted_row_update_rate
1,mcmc,250,1.0983194667817173,0.8791821520632388,1.0,0.8445333333333334
1,mcmc,500,0.9143871804509702,0.8815867783130062,1.0,0.8493333333333334
1,mcmc,750,0.6668799661760524,0.872871519602919,1.0,0.8534666666666667
1,mcmc,1000,0.8084791152671151,0.8696629235302608,1.0,0.8527666666666667
1,mcmc,1250,0.9778223391693607,0.8687030292422987,1.0,0.8532
1,mcmc,1500,0.8442192089006508,0.8728668319961207,1.0,0.8536222222222222
1,mcmc,1750,0.868284804611093,0.8720897382764758,1.0,0.8535238095238096
1,mcmc,2000,0.9902789898266727,0.8764622900354128,1.0,0.85255
1,mcmc,2250,0.8586877521694803,0.8785999719536267,1.0,0.8527407407407407
1,mcmc,2500,0.9516525156043498,0.8771015130083518,1.0,0.8525333333333334
1,mcmc,2750,0.9253825896639583,0.8781946199247653,1.0,0.8527636363636364
1,mcmc,3000,0.8832856229950655,0.8776652863199582,1.0,0.8523666666666667
1,mcmc,3250,1.0196892246146356,0.8788389340472745,1.0,0.8523384615384615
1,mcmc,3500,0.7641529703317752,0.8789270084851086,1.0,0.8527238095238096
1,mcmc,3750,0.725586248638629,0.8770056066985378,1.0,0.8522933333333333
1,mcmc,4000,1.0046160269224653,0.877312909048015,1.0,0.8522083333333333
1,mcmc,4250,0.9973986965138532,0.87763697036538,1.0,0.8526431372549019
1,mcmc,4500,0.790849697275069,0.8776647550959326,1.0,0.8525037037037037
1,mcmc,4750,0.827766801472132,0.8774315751845388,1.0,0.8526175438596492
1,mcmc,5000,1.0222475962628448,0.8776494875677119,1.0,0.8520733333333333
1,monte_carlo,250,0.8718761911055891,0.8662183081757493,,
1,monte_carlo,500,0.8854008556280172,0.8757935574561814,,
1,monte_carlo,750,0.8620297402780676,0.8782414426051108,,
1,monte_carlo,1000,0.7805684094038465,0.8776093289536384,,
1,monte_carlo,1250,0.931523752753146,0.8775442764317913,,
1,monte_carlo,1500,0.8002408207624945,0.8781622840368298,,
1,monte_carlo,1750,0.9114181491922684,0.8787010026369636,,
1,monte_carlo,2000,0.9757050886132729,0.8784408725960389,,
1,monte_carlo,2250,0.9081424787146678,0.8763128114649574,,
1,monte_carlo,2500,0.6866770262276918,0.876232702548074,,
1,monte_carlo,2750,0.6620968494678211,0.8761528056027078,,
1,monte_carlo,3000,0.6560024350892774,0.8760471792332039,,
1,monte_carlo,3250,0.5351877716877762,0.876953652436817,,
1,monte_carlo,3500,0.9273328241487241,0.8779251824327641,,
1,monte_carlo,3750,0.966020591463603,0.878233719169384,,
1,monte_carlo,4000,0.9482140227669194,0.8780356526384878,,
1,monte_carlo,4250,0.7964805031750433,0.8775605074443024,,
1,monte_carlo,4500,0.8855862660500996,0.8771570961749748,,
1,monte_carlo,4750,1.0536989918866955,0.87664153919175,,
1,monte_carlo,5000,0.9739887437737531,0.8774615394618901,,
2,mcmc,250,1.2275187146791946,1.059490475559583,1.0,0.8478666666666667
2,mcmc,500,1.02121879982027,1.0602503379377723,1.0,0.8450666666666666
2,mcmc,750,1.1905020222123972,1.0598767792625972,1.0,0.8472
2,mcmc,1000,1.0492937327205687,1.0559066575746,1.0,0.8479333333333333
2,mcmc,1250,0.8196505119853599,1.0527146133270229,1.0,0.8486666666666667
2,mcmc,1500,1.0484327491556469,1.0574811518729725,1.0,0.8469777777777778
2,mcmc,1750,1.1175715621934024,1.0594455125482176,1.0,0.8475619047619047
2,mcmc,2000,1.1499612426494172,1.0592298012918662,1.0,0.8472666666666666
2,mcmc,2250,1.3424889211184536,1.0604214880427465,1.0,0.8468
2,mcmc,2500,0.9464544189983054,1.0614581752492078,1.0,0.8470133333333333
2,mcmc,2750,0.9749591030635495,1.0603066982720404,1.0,0.8469818181818182
2,mcmc,3000,1.145143173538592,1.061061620344882,1.0,0.8472888888888889
2,mcmc,3250,1.0120550559506787,1.0598057111508918,1.0,0.846123076923077
2,mcmc,3500,1.0649364094067466,1.0580676215930127,1.0,0.8464857142857143
2,mcmc,3750,0.8796367854594798,1.057573004021689,1.0,0.8462933333333333
2,mcmc,4000,1.0990581664074488,1.0601430661762234,1.0,0.8465083333333333
2,mcmc,4250,1.0416087782561765,1.0601849297237633,1.0,0.8462039215686274
2,mcmc,4500,1.1881398730636936,1.0609848947377365,1.0,0.8463037037037037
2,mcmc,4750,0.9338381112277426,1.0617523121492844,1.0,0.8459649122807018
2,mcmc,5000,0.8706359329832715,1.0625150900079157,1.0,0.8458666666666667
2,monte_carlo,250,1.1787849804097459,1.064113288666367,,
2,monte_carlo,500,0.9260961808984328,1.059511116300971,,
2,monte_carlo,750,1.0699122890410213,1.0612649358400137,,
2,monte_carlo,1000,1.1376290163324776,1.0580851886846019,,
2,monte_carlo,1250,1.0978889287474758,1.058585703085356,,
2,monte_carlo,1500,1.0493074728289478,1.0583258050645274,,
2,monte_carlo,1750,1.1494568363564721,1.0586445898260877,,
2,monte_carlo,2000,1.0670274814126182,1.0585694657651605,,
2,monte_carlo,2250,1.1891210966544719,1.058655492561318,,
2,monte_carlo,2500,1.0684029407568285,1.0605244125349522,,
2,monte_carlo,2750,0.7481669141794961,1.0604554704109634,,
2,monte_carlo,3000,1.0778733105948313,1.0602921383826744,,
2,monte_carlo,3250,0.8866169657987728,1.0613518735615943,,
2,monte_carlo,3500,1.0640184087533664,1.0622792306316458,,
2,monte_carlo,3750,1.0702386591277269,1.0612723965461732,,
2,monte_carlo,4000,1.2324817275684667,1.0612462875864852,,
2,monte_carlo,4250,1.081971833287955,1.0604387005257139,,
2,monte_carlo,4500,1.3384517935893319,1.0600998898887244,,
2,monte_carlo,4750,1.0866248426868896,1.0600561781959674,,
2,monte_carlo,5000,0.8767407258886017,1.0599183491667357,,
3,mcmc,250,1.2525717291169165,1.4545309086301685,1.0,0.8512
3,mcmc,500,1.2936012143139604,1.4497806669044553,1.0,0.8468666666666667
3,mcmc,750,1.4608254599982646,1.4437518559736235,1.0,0.8473777777777778
3,mcmc,1000,1.6393009962871674,1.4438487722992286,1.0,0.8523333333333334
3,mcmc,1250,1.2732871033535769,1.44421269058798,1.0,0.85256
3,mcmc,1500,1.4857023966981349,1.4493627396728004,1.0,0.8531111111111112
3,mcmc,1750,1.4125345003769634,1.4480888500557074,1.0,0.8531809523809524
3,mcmc,2000,1.4410141488971846,1.4452718942283538,1.0,0.85395
3,mcmc,2250,1.4767374753055176,1.4444598210490602,1.0,0.8554962962962963
3,mcmc,2500,1.5067583544567338,1.4419350300340135,1.0,0.8550133333333333
3,mcmc,2750,1.4900735388047244,1.4422059084641567,1.0,0.8553333333333333
3,mcmc,3000,1.5686240474254733,1.440740023864707,1.0,0.8555555555555555
3,mcmc,3250,1.5279437359716455,1.4416649161446349,1.0,0.8550461538461539
3,mcmc,3500,1.3578969619960164,1.4423605532148573,1.0,0.8546
3,mcmc,3750,1.485974126778296,1.441763410771818,1.0,0.8549066666666667
3,mcmc,4000,1.4287554868183066,1.4405407212756947,1.0,0.8551583333333334
3,mcmc,4250,1.416568097360799,1.4395024530939793,1.0,0.8550117647058824
3,mcmc,4500,1.6403698088350518,1.4398596345419532,1.0,0.8546222222222222
3,mcmc,4750,1.436074033891959,1.4385684711014919,1.0,0.8546385964912281
3,mcmc,5000,1.5806102067976415,1.4392688373193387,1.0,0.8547066666666666
3,monte_carlo,250,1.244968918841781,1.4330642397200846,,
3,monte_carlo,500,1.4192102459736884,1.4419814618787992,,
3,monte_carlo,750,1.3823539332804156,1.4445174671220504,,
3,monte_carlo,1000,1.2418558504315043,1.444793067088972,,
3,monte_carlo,1250,1.748328111007198,1.4420152566275426,,
3,monte_carlo,1500,1.4728527681739894,1.4403144439703344,,
3,monte_carlo,1750,1.689193327691631,1.4397280350553034,,
3,monte_carlo,2000,1.4014807429808007,1.4386714923745085,,
3,monte_carlo,2250,1.3462903576743666,1.4399834680115313,,
3,monte_carlo,2500,1.062642817273933,1.4394284110644695,,
3,monte_carlo,2750,1.5265214873311344,1.438763331179621,,
3,monte_carlo,3000,1.4668107366288277,1.43898612123687,,
3,monte_carlo,3250,1.3262983121903977,1.4398818334014334,,
3,monte_carlo,3500,1.4304745799082252,1.4393970119866217,,
3,monte_carlo,3750,1.7100144191555253,1.4397896625308781,,
3,monte_carlo,4000,1.511605801052222,1.4395389922512272,,
3,monte_carlo,4250,1.3746114009181085,1.4401418518036169,,
3,monte_carlo,4500,1.4178668876984064,1.4401829825040906,,
3,monte_carlo,4750,1.4756269449181068,1.4396771237701798,,
3,monte_carlo,5000,1.3781382935923434,1.4395189879388035,,
4,mcmc,250,0.8651123916893936,1.0143182055066573,1.0,0.8401333333333333
4,mcmc,500,0.8385644789240805,1.0091166729257386,1.0,0.843
4,mcmc,750,1.1623441556226046,1.0111990892631701,1.0,0.8426666666666667
4,mcmc,1000,0.9875921599765363,1.0081826585825062,1.0,0.8451333333333333
4,mcmc,1250,0.9055880393976523,1.0060178510551396,1.0,0.8466133333333333
4,mcmc,1500,1.0505219118670093,1.00393692949602,1.0,0.8476
4,mcmc,1750,0.8336893748602806,1.0034090416607722,1.0,0.8476571428571429
4,mcmc,2000,1.0215513323945624,1.0057598363226907,1.0,0.84805
4,mcmc,2250,0.970176059536991,1.0062610797158333,1.0,0.8478666666666667
4,mcmc,2500,1.1768549376776078,1.006602840590782,1.0,0.8478533333333333
4,mcmc,2750,1.0845897184491178,1.0044120783545314,1.0,0.847769696969697
4,mcmc,3000,0.938043466678574,1.0018360362349823,1.0,0.8479555555555556
4,mcmc,3250,1.1369384527184645,1.000636203046687,1.0,0.8479794871794872
4,mcmc,3500,1.0124081752644447,1.0013143844516297,1.0,0.8483238095238095
4,mcmc,3750,1.242582097572868,1.0027318183731906,1.0,0.8489066666666667
4,mcmc,4000,1.0183742281710169,1.0025526589195561,1.0,0.8488
4,mcmc,4250,0.9466147132944048,1.003788742679568,1.0,0.8490274509803921
4,mcmc,4500,0.855719124862172,1.002851510509785,1.0,0.8491777777777778
4,mcmc,4750,0.8553902539669529,1.0029646560561538,1.0,0.8494315789473684
4,mcmc,5000,0.9897720596661812,1.0030636386525973,1.0,0.8496466666666667
4,monte_carlo,250,1.1360787523157927,0.9867490333228359,,
4,monte_carlo,500,0.967668675213903,0.994290975432362,,
4,monte_carlo,750,0.8952620747504626,0.9976215601694555,,
4,monte_carlo,1000,1.1789308656403645,1.0008994104502698,,
4,monte_carlo,1250,0.9240145008089429,1.002207639934223,,
4,monte_carlo,1500,1.141403407262643,0.9983049111214406,,
4,monte_carlo,1750,0.9036781533062123,0.9990415051097781,,
4,monte_carlo,2000,0.9607634894910363,0.9983325985846017,,
4,monte_carlo,2250,1.201296851119101,0.9971893992091128,,
4,monte_carlo,2500,1.0226011508637411,0.9989687802930375,,
4,monte_carlo,2750,0.8860239851424425,0.9996730965628027,,
4,monte_carlo,3000,0.8880269548143861,0.9997135418652416,,
4,monte_carlo,3250,1.0203967953365765,0.9989089318360015,,
4,monte_carlo,3500,1.0949755198876365,0.9987367374771496,,
4,monte_carlo,3750,0.8597105732807501,0.9980775503505046,,
4,monte_carlo,4000,1.1450144184196374,0.9978049281647611,,
4,monte_carlo,4250,0.9896201138947655,0.9984204024363569,,
4,monte_carlo,4500,0.9368031048927724,0.9982689751450907,,
4,monte_carlo,4750,0.9022419457667568,0.9981911354098436,,
4,monte_carlo,5000,0.9200341057508333,0.9982916716091882,,
5,mcmc,250,1.078081769831156,1.0020005224019943,1.0,0.8273333333333334
5,mcmc,500,0.9990848208845936,0.9834163266053703,1.0,0.8310666666666666
5,mcmc,750,1.0296673118082174,0.9862824832634337,1.0,0.8357777777777777
5,mcmc,1000,1.044964741648923,0.9868013322122187,1.0,0.8335
5,mcmc,1250,1.1184208234747113,0.9875937431862041,1.0,0.8332266666666667
5,mcmc,1500,0.9722149831623015,0.9896697215359871,1.0,0.8347777777777777
5,mcmc,1750,1.2027851493258708,0.9913166377344117,1.0,0.8352380952380952
5,mcmc,2000,0.7605764981697953,0.991170072855898,1.0,0.8364
5,mcmc,2250,1.0107202621256914,0.9908739349278379,1.0,0.8352444444444445
5,mcmc,2500,1.0629500339084785,0.9893814872589947,1.0,0.8351866666666666
5,mcmc,2750,1.107462076534945,0.9899395434452862,1.0,0.8356121212121213
5,mcmc,3000,1.0193334696498324,0.9898419406187045,1.0,0.8358666666666666
5,mcmc,3250,0.9733182990201165,0.9917698361822124,1.0,0.836
5,mcmc,3500,1.0624964259211658,0.9923243940103703,1.0,0.8364380952380952
5,mcmc,3750,0.8835578610456298,0.9940283754955865,1.0,0.8362666666666667
5,mcmc,4000,0.8724875793498595,0.994947041946923,1.0,0.8361166666666666
