sim,mcmc_iter,running_tau_mcmc,running_tau_monte_carlo,tau_diff_mcmc_minus_mc
1,250,0.8791821520632388,0.8662183081757493,0.012963843887489501
1,500,0.8815867783130062,0.8757935574561814,0.005793220856824877
1,750,0.872871519602919,0.8782414426051108,-0.0053699230021918565
1,1000,0.8696629235302608,0.8776093289536384,-0.007946405423377656
1,1250,0.8687030292422987,0.8775442764317913,-0.00884124718949264
1,1500,0.8728668319961207,0.8781622840368298,-0.0052954520407091366
1,1750,0.8720897382764758,0.8787010026369636,-0.006611264360487756
1,2000,0.8764622900354128,0.8784408725960389,-0.0019785825606261076
1,2250,0.8785999719536267,0.8763128114649574,0.002287160488669282
1,2500,0.8771015130083518,0.876232702548074,0.000868810460277869
1,2750,0.8781946199247653,0.8761528056027078,0.0020418143220575224
1,3000,0.8776652863199582,0.8760471792332039,0.0016181070867543612
1,3250,0.8788389340472745,0.876953652436817,0.0018852816104575343
1,3500,0.8789270084851086,0.8779251824327641,0.0010018260523445566
1,3750,0.8770056066985378,0.878233719169384,-0.0012281124708461988
1,4000,0.877312909048015,0.8780356526384878,-0.000722743590472863
1,4250,0.87763697036538,0.8775605074443024,7.646292107765795e-05
1,4500,0.8776647550959326,0.8771570961749748,0.0005076589209577209
1,4750,0.8774315751845388,0.87664153919175,0.0007900359927888179
1,5000,0.8776494875677119,0.8774615394618901,0.0001879481058217891
