sim,mcmc_iter,tau_current,running_tau,total_distance,accepted_iterations,accepted_iteration_rate,type1_count,type2_count,type1_acceptance_rate,type2_acceptance_rate
1,100,0.7105005911878682,0.7428353926718327,44.86293971852671,33,0.33,48,52,0.20833333333333334,0.4423076923076923
1,200,0.7915846970121777,0.7681273837492468,59.52331628721934,91,0.455,93,107,0.40860215053763443,0.4953271028037383
1,300,0.8345807314884094,0.7720986249919595,55.68942208468815,160,0.5333333333333333,147,153,0.5170068027210885,0.5490196078431373
1,400,0.7182118413510847,0.7910534145274822,56.84734136846556,211,0.5275,204,196,0.49019607843137253,0.5663265306122449
1,500,0.8882424831768283,0.7759616288628736,58.64281533911996,270,0.54,264,236,0.5075757575757576,0.576271186440678
1,600,1.1999135490128434,0.8138760672469045,56.215711971914175,331,0.5516666666666666,317,283,0.5299684542586751,0.5759717314487632
1,700,1.0579060390897435,0.8515403099307189,56.957358443415,399,0.57,373,327,0.5603217158176944,0.581039755351682
1,800,1.1586929455169541,0.8740263082920791,61.871185107061926,461,0.57625,419,381,0.5656324582338902,0.5879265091863517
1,900,0.7574695961662926,0.8807348237644979,57.16441672348878,513,0.57,469,431,0.55863539445629,0.5823665893271461
1,1000,0.7310778307507451,0.873176278899491,58.769029976476766,565,0.565,513,487,0.5477582846003899,0.5831622176591376
1,1100,0.9435652878406346,0.8782252838276581,58.16449111684082,624,0.5672727272727273,569,531,0.5483304042179262,0.5875706214689266
1,1200,0.8963531281329341,0.8822929432668324,61.564956222001996,687,0.5725,620,580,0.5532258064516129,0.593103448275862
1,1300,0.8195268796667774,0.882860701676746,51.145415106428985,743,0.5715384615384616,663,637,0.5520361990950227,0.5918367346938775
1,1400,0.8955708456254474,0.8839702645482358,53.171467838293694,796,0.5685714285714286,707,693,0.5516265912305516,0.5858585858585859
1,1500,0.8392263141368879,0.8796731695181507,54.79816330135019,855,0.57,752,748,0.5492021276595744,0.5909090909090909
1,1600,0.9493298528650431,0.8803549423435839,56.31576611311855,915,0.571875,805,795,0.55527950310559,0.5886792452830188
1,1700,0.9968029662352897,0.8847751376825022,58.24316423064263,979,0.5758823529411765,856,844,0.5584112149532711,0.5936018957345972
1,1800,0.7916707689036593,0.8869873518889195,57.39073544308512,1042,0.5788888888888889,903,897,0.5625692137320044,0.5953177257525084
1,1900,0.6358723479668512,0.8808533549939097,63.201251109762524,1100,0.5789473684210527,948,952,0.5643459915611815,0.5934873949579832
1,2000,0.9895785199542222,0.8725136266309313,63.36156963208158,1172,0.586,1011,989,0.5687438180019783,0.6036400404448938
1,2100,0.8714751608479214,0.8736529859330625,59.633663760089846,1231,0.5861904761904762,1057,1043,0.5695364238410596,0.6030680728667306
1,2200,0.972088711940845,0.8768561925806502,65.0638938668128,1306,0.5936363636363636,1107,1093,0.5754290876242095,0.6120768526989936
1,2300,0.7745734555749848,0.8767638697931297,55.21710077619276,1375,0.5978260869565217,1152,1148,0.5789930555555556,0.6167247386759582
1,2400,0.8094335524628501,0.8732702914335772,57.93723458020833,1428,0.595,1209,1191,0.576509511993383,0.6137699412258606
1,2500,0.7968696087303223,0.8687055005519514,56.09278132795895,1494,0.5976,1261,1239,0.5836637589214909,0.6117836965294592
1,2600,0.6781194706460719,0.8646768578697301,54.81659461672276,1554,0.5976923076923077,1313,1287,0.584920030464585,0.6107226107226107
