acceptance_count,beta,bwVar,covers_true,dataset_file,est,est_med,estdiff,ll,method,miVar,miVarclus,miVarpaired,n_mcmc,n_sampling_draws,pstar,result_file,share_estimation_in_method,share_mcmc_in_method,share_method_in_sim,share_sampling_in_mcmc,share_sampling_in_method,sim,time_allocation,time_mcmc_estimation,time_mcmc_sampling,time_mcmc_total,time_method_call,time_method_total,time_per_sampling_draw,time_setup,time_sim_post,time_sim_prep,time_sim_total,time_summary,ul,wiVar,wiVarclus,wiVarpaired
579,1.0,0.011482374340810533,1,datasets_sb01.npz,0.8604117231182914,0.8657424395272733,0.8604117231182877,0.32599169807244255,constrained_1to1,0.07434526321584904,0.25731229648471593,0.07470731994222062,1000,1000,0.5,results\constrained_1to1_beta1_profile_3.csv,0.9168447453181953,0.9988473052711693,0.9996485525897782,0.08209719295454448,0.08200255995297398,1,2.269999822601676e-05,0.26669509982457384,0.02385319981840439,0.29054829964297824,0.29154859998379834,0.2908835996349808,2.385319981840439e-05,0.00026359999901615083,2.120001590810716e-05,8.040000102482736e-05,0.2916511000075843,4.8999994760379195e-05,1.3948317481641404,0.0628514065006977,0.2458184397695646,0.06321346322706928
442,1.0,0.008890360543607619,1,datasets_sb01.npz,1.0122383199103424,1.0132633027088125,1.0122383199103429,0.4300915956638438,constrained_1to1,0.08821709926877574,0.27031187893615,0.08012683123187672,1000,1000,0.5,results\constrained_1to1_beta1_profile_3.csv,0.9186657583350966,0.9992293531059177,0.999788967660513,0.08062572873825632,0.08056359477082106,2,1.2300006346777081e-05,0.3023091995273717,0.0265114005014766,0.3288206000288483,0.329737699998077,0.329074200039031,2.6511400501476602e-05,0.00019190000602975488,9.69998654909432e-06,5.910001345910132e-05,0.3298073000041768,4.939999780617654e-05,1.594385044156841,0.07931784836462452,0.2614126280319988,0.0712275803277255
462,1.0,0.010422350027513762,1,datasets_sb01.npz,1.429856095502966,1.4180028410171637,1.4298560955029607,0.8804242292581606,constrained_1to1,0.07858063714214125,0.2590923603371942,0.07500803290497043,1000,1000,0.5,results\constrained_1to1_beta1_profile_3.csv,0.9168306527716668,0.9992776318013309,0.9997997194969801,0.08250657915862926,0.0824469790296641,3,1.2500007869675756e-05,0.31285810031113215,0.0281340999645181,0.34099220027565025,0.34195179998641834,0.3412387002608739,2.81340999645181e-05,0.00018619999173097312,1.1199997970834374e-05,5.669999518431723e-05,0.3420202999841422,4.779998562298715e-05,1.9792879617477714,0.06814786476459997,0.24865958795965293,0.06457526052742915
482,1.0,0.03324997669160256,1,datasets_sb01.npz,0.9696875842050032,0.9869713554578012,0.969687584204998,0.3419722531615872,constrained_1to1,0.10256834049014615,0.2863624351208799,0.1003867169358291,1000,1000,0.5,results\constrained_1to1_beta1_profile_3.csv,0.9169777196288461,0.9992235133057001,0.9997938547515934,0.0823097060684279,0.08224579367685403,4,2.4300010409206152e-05,0.2938157998432871,0.02635299979010597,0.32016879963339306,0.3210665000078734,0.32041759963613003,2.6352999790105967e-05,0.00018099998123943806,1.0599993402138352e-05,5.479998071677983e-05,0.3211326999880839,4.350001108832657e-05,1.5974029152484193,0.06928511382185198,0.25307920845258575,0.06710349026753494
511,1.0,0.015691221656968023,1,datasets_sb01.npz,1.0091607784455738,1.0157935395924378,1.0091607784455687,0.47975304725048684,constrained_1to1,0.07295724329683712,0.2354009728541516,0.0663466754078677,1000,1000,0.5,results\constrained_1to1_beta1_profile_3.csv,0.9193447449513971,0.9990936723911839,0.9997801771345489,0.07982127166206487,0.07974892743978673,5,1.3999990187585354e-05,0.30248289997689426,0.026239000086206943,0.3287219000631012,0.3297385000041686,0.32902010006364435,2.623900008620694e-05,0.00018760000239126384,1.4599994756281376e-05,5.679999594576657e-05,0.3298110000032466,9.660000796429813e-05,1.538568509640661,0.05725033041821213,0.2196940599755266,0.05063976252924272
434,1.0,0.014342892030654806,1,datasets_sb01.npz,0.9457479365938827,0.9355428637203838,0.9457479365938802,0.341482054085962,constrained_1to1,0.09504822385544467,0.2928332403057439,0.09559147515869318,1000,1000,0.5,results\constrained_1to1_beta1_profile_3.csv,0.9153098217026562,0.9992025346410118,0.9997261099881859,0.08395966786503016,0.08389271293835565,6,1.279998105019331e-05,0.2840739999082871,0.026036799739813432,0.3101107996481005,0.31098850001581013,0.31035829964093864,2.603679973981343e-05,0.00020100001711398363,8.599978173151612e-06,7.589999586343765e-05,0.31107369999517687,3.369999467395246e-05,1.5500138191018034,0.08069098893275921,0.27847600538305844,0.08123424023600771
502,1.0,0.0244060165017473,1,datasets_sb01.npz,1.332982075852066,1.3321773969207293,1.332982075852066,0.6832768032796465,constrained_1to1,0.10988050323000889,0.2934050179848557,0.10028427262054765,1000,1000,0.5,results\constrained_1to1_beta1_profile_3.csv,0.9205844150569238,0.9993151123880657,0.9997973606636131,0.07878465596602359,0.07873069733114195,7,1.0299991117790341e-05,0.272860299970489,0.023335699952440336,0.29619599992292933,0.29701929999282584,0.29639899992616847,2.3335699952440338e-05,0.0001542000100016594,8.799979696050286e-06,5.060000694356859e-05,0.29707949998555705,3.850000211969018e-05,1.9826873484244856,0.08545008071175984,0.2689745954666066,0.0758538501022986
449,1.0,0.016299491486918703,1,datasets_sb01.npz,0.9484580198674097,0.9375823845262785,0.9484580198674054,0.3689551444094956,constrained_1to1,0.08741763397125957,0.27767579503847106,0.0876023664701509,1000,1000,0.5,results\constrained_1to1_beta1_profile_3.csv,0.9166303364064343,0.999205001670442,0.9997844131393491,0.08264036421551312,0.08257466526400772,8,1.1900003300979733e-05,0.2693399995332584,0.024263500148663297,0.2936034996819217,0.2944813000212889,0.29383709968533367,2.4263500148663297e-05,0.0001821999903768301,1.1099997209385037e-05,5.15999854542315e-05,0.2945448000100441,3.950000973418355e-05,1.5279608953253239,0.07110184299285395,0.26136000406006543,0.07128657549174529
497,1.0,0.009536793427256891,1,datasets_sb01.npz,1.4336169505604517,1.433444903658073,1.4336169505604481,0.8334693995321601,constrained_1to1,0.09375704992848184,0.28952739952143713,0.09158683947379945,1000,1000,0.5,results\constrained_1to1_beta1_profile_3.csv,0.9227968581796867,0.9991672889436936,0.9997696757985809,0.07643407826605758,0.07637043076400685,9,1.2400007108226418e-05,0.2598690999438986,0.02150669990805909,0.2813757998519577,0.2821459000115283,0.28161029986222275,2.1506699908059092e-05,0.00018319999799132347,7.700000423938036e-06,5.679999594576657e-05,0.28221090001170523,3.890000516548753e-05,2.033764501588743,0.0842107197077977,0.279981069300753,0.0820405092531153
483,1.0,0.0407683177443562,1,datasets_sb01.npz,1.2090547176942545,1.2246354629494112,1.2090547176942537,0.5648289215787589,constrained_1to1,0.10803490118196693,0.3005136788720546,0.1111390816577437,1000,1000,0.5,results\constrained_1to1_beta1_profile_3.csv,0.9180043179448475,0.9992072807556572,0.9997744721971945,0.08126738503086105,0.08120296281080967,10,1.2300006346777081e-05,0.2948382007307373,0.0260801991680637,0.320918399898801,0.3218388000095729,0.3211729999165982,2.60801991680637e-05,0.0002012000186368823,8.600007276982069e-06,6.320001557469368e-05,0.3219113999803085,4.1099992813542485e-05,1.8532805138097501,0.06722581511986639,0.25970459280995406,0.07032999559564314
