beta,bwVar,covers_true,dataset_file,est,est_med,estdiff,k,ll,method,miVar,miVarpaired,n_mcmc,n_sampling_draws,pstar,result_file,share_estimation_in_method,share_mcmc_in_method,share_method_in_sim,share_sampling_in_mcmc,share_sampling_in_method,sim,time_allocation,time_mcmc_estimation,time_mcmc_sampling,time_mcmc_total,time_method_call,time_method_total,time_per_sampling_draw,time_setup,time_sim_post,time_sim_prep,time_sim_total,time_summary,ul,wiVar,wiVarpaired
1.0,0.019621355445053997,1,datasets_sb01.npz,1.1056644142367031,1.1077279966901874,1.1056644142366954,2,0.557876245093863,unconstrained_1tok_mc,0.07811117197336132,0.0791654764290385,1000,30000,0.5,results\unconstrained_1tok_mc_beta1_profile_1.csv,0.1427043127015128,0.9996980410157223,0.9999368828052626,0.8572525834335726,0.8569937283142096,13,1.1199997970834374e-05,0.15860290030832402,0.9524707998207305,1.1110737001290545,1.1121467000048142,1.1114093001524452,3.174902666069101e-05,0.0002880000101868063,9.000010322779417e-06,6.079999729990959e-05,1.1122169000154827,3.640001523308456e-05,1.6534525833795433,0.05847019517286226,0.05952449962853945
1.0,0.016752028963676998,1,datasets_sb01.npz,0.7328768657479904,0.7335918685682152,0.7328768657479875,2,0.20758131790823497,unconstrained_1tok_mc,0.0718282519211445,0.07099342147775092,1000,30000,0.5,results\unconstrained_1tok_mc_beta1_profile_1.csv,0.13021688594187086,0.9997132118395006,0.9999426544077188,0.8697457586838648,0.8694963258976297,14,1.1299998732283711e-05,0.16155189971323125,1.0787294000037946,1.2402812997170258,1.2415236000088044,1.2406370997487102,3.5957646666793154e-05,0.0003110000106971711,8.99998121894896e-06,6.170000415295362e-05,1.2415947999979835,3.350002225488424e-05,1.258172413587746,0.055059470928503836,0.054224640485110255
1.0,0.013746636765931013,1,datasets_sb01.npz,1.3392483955312724,1.3355637299440044,1.3392483955312702,2,0.8514344796582977,unconstrained_1tok_mc,0.061943569481290525,0.06820952035662682,1000,30000,0.5,results\unconstrained_1tok_mc_beta1_profile_1.csv,0.09854098952008325,0.9996910070901702,0.9999409023651151,0.901428552601559,0.901150017570087,15,1.1199997970834374e-05,0.11646599948289804,1.065072900033556,1.181538899516454,1.1827182000270113,1.1819040995032992,3.5502430001118534e-05,0.00031869998201727867,9.600014891475439e-06,5.979998968541622e-05,1.1827881000062916,3.530000685714185e-05,1.827062311404247,0.04818318607859358,0.054449136953929875
1.0,0.018271331821991005,1,datasets_sb01.npz,0.8763814030723764,0.8833353324990441,0.8763814030723736,2,0.3508170689127651,unconstrained_1tok_mc,0.0719017777334016,0.07039089306027983,1000,30000,0.5,results\unconstrained_1tok_mc_beta1_profile_1.csv,0.09056084754915232,0.9996579830687911,0.9999366214112211,0.9094081685106491,0.9090971355196388,16,1.2600008631125093e-05,0.10723779967520386,1.0765091001521796,1.1837468998273835,1.1848675000073854,1.1841518998262472,3.588363667173932e-05,0.0003536999865900725,1.1800002539530396e-05,6.279998342506588e-05,1.1849425999971572,3.8700003642588854e-05,1.401945737231988,0.053612174579588605,0.052101289906466834
1.0,0.011879833660145982,1,datasets_sb01.npz,1.0548408043859354,1.0548203073538014,1.0548408043859336,2,0.5750455752703234,unconstrained_1tok_mc,0.05992384992766104,0.06873873821724476,1000,30000,0.5,results\unconstrained_1tok_mc_beta1_profile_1.csv,0.0825127984969415,0.9996491161928724,0.9999308423883381,0.9174582389356892,0.917136317695931,17,1.2600008631125093e-05,0.09479180033667944,1.0536183997173794,1.1484102000540588,1.1494685000216123,1.148813300038455,3.512061332391264e-05,0.00035239997669123113,1.0099989594891667e-05,6.890000076964498e-05,1.149548000015784,3.809999907389283e-05,1.5346360335015474,0.04803213643385491,0.056847024723438624
1.0,0.015242203721341994,1,datasets_sb01.npz,1.3249832816364573,1.3236935621214385,1.3249832816364602,2,0.8101505480029801,unconstrained_1tok_mc,0.06899540389955197,0.07308867456664743,1000,30000,0.5,results\unconstrained_1tok_mc_beta1_profile_1.csv,0.08305891398660584,0.9996510945362908,0.99993921268198,0.9169120961897866,0.9165921805496848,18,1.3899989426136017e-05,0.09626970006502233,1.0623791001853533,1.1586488002503756,1.1597110999864526,1.1590532002446707,3.541263667284511e-05,0.0003564000071492046,9.90001717582345e-06,5.9999991208314896e-05,1.1597815999994054,3.409999771974981e-05,1.8398160152699345,0.05373795797448864,0.05783122864158409
1.0,0.012579928071250995,1,datasets_sb01.npz,1.3635157481143383,1.3656972280412476,1.3635157481143407,2,0.8988974415460996,unconstrained_1tok_mc,0.056192776655127515,0.0566953320443091,1000,30000,0.5,results\unconstrained_1tok_mc_beta1_profile_1.csv,0.0828000536376005,0.9996523832545061,0.9999347721931279,0.9171711536684047,0.9168523296169057,19,1.2699980288743973e-05,0.09539650028455071,1.0563338993233629,1.1517303996079136,1.1528072000073735,1.152130899601616,3.521112997744543e-05,0.0003454000107012689,1.209997572004795e-05,6.240000948309898e-05,1.1528823999979068,4.2400002712383866e-05,1.828134054682577,0.04360026865580527,0.04410282404498685
1.0,0.014936212354160533,1,datasets_sb01.npz,1.0918967198277552,1.0871120661193119,1.0918967198277558,2,0.6077127354534392,unconstrained_1tok_mc,0.06102512773963658,0.0635188220767966,1000,30000,0.5,results\unconstrained_1tok_mc_beta1_profile_1.csv,0.08487999381745734,0.9996181411744736,0.999900892773343,0.9150875816261899,0.9147381473570163,20,1.550000160932541e-05,0.0989373006450478,1.0662314996297937,1.1651688002748415,1.1662978999956977,1.1656139002298005,3.554104998765979e-05,0.000390799978049472,1.0499992640689015e-05,0.00010410000686533749,1.1664135000028182,3.8799975300207734e-05,1.576080704202071,0.046073979173121886,0.04856767351028191
1.0,0.015240902567594531,1,datasets_sb01.npz,1.4935649323566003,1.4906195077205933,1.4935649323566018,2,0.9603369591860844,unconstrained_1tok_mc,0.07401397109837994,0.08241213263442848,1000,30000,0.5,results\unconstrained_1tok_mc_beta1_profile_1.csv,0.0800673130545402,0.9996406353749943,0.999930329321758,0.9199039032416838,0.9195733223204541,21,1.4499993994832039e-05,0.09348789977957495,1.073708799725864,1.167196699505439,1.168272499984596,1.167616299499059,3.5790293324195467e-05,0.0003730999887920916,8.600007276982069e-06,7.229999755509198e-05,1.1683538999932352,3.200001083314419e-05,2.026792905527116,0.05875782762821782,0.06715598916426636
1.0,0.014676374184349866,1,datasets_sb01.npz,1.2607479905837955,1.2582532131822175,1.260747990583796,2,0.7603251809419262,unconstrained_1tok_mc,0.06518715858232574,0.07044610662200355,1000,30000,0.5,results\unconstrained_1tok_mc_beta1_profile_1.csv,0.09311340025089804,0.9996857013465388,0.999943517605146,0.9068573251318112,0.9065723010956407,22,1.0799994925037026e-05,0.10955610009841621,1.0666620002884883,1.1762181003869046,1.1772912000014912,1.1765879003796726,3.555540000961628e-05,0.00032560000545345247,8.99998121894896e-06,5.699999746866524e-05,1.177357699983986,3.339999238960445e-05,1.7611708002256647,0.05049610802379152,0.05575505606346934
