beta,bwVar,covers_true,dataset_file,est,est_med,estdiff,ll,method,miVar,miVarpaired,n_mcmc,n_sampling_draws,pstar,result_file,share_estimation_in_method,share_mcmc_in_method,share_method_in_sim,share_sampling_in_mcmc,share_sampling_in_method,sim,time_allocation,time_mcmc_estimation,time_mcmc_sampling,time_mcmc_total,time_method_call,time_method_total,time_per_sampling_draw,time_setup,time_sim_post,time_sim_prep,time_sim_total,time_summary,ul,wiVar,wiVarpaired
1.0,0.024978537051989158,1,datasets_sb01.npz,0.8763279910864594,0.8821930607230604,0.8763279910864555,0.30161096758183126,unconstrained_1to1,0.08597971082518203,0.08549179376037187,1000,30000,0.5,results\unconstrained_1to1_beta1_3.csv,0.8528724110429878,0.9958707760678615,0.9976421599527477,0.14359128559781065,0.14299836502487362,1,7.70005863159895e-06,0.07160929939709604,0.012006500153802335,0.08361579955089837,0.08462340000551194,0.08396249951329082,4.0021667179341117e-07,0.00030179996974766254,1.9200029782950878e-05,0.0001786999637261033,0.08482340001501143,3.7199934013187885e-05,1.4510450145910876,0.06097619523614089,0.06048827817133073
1.0,0.03572125894069785,1,datasets_sb01.npz,1.0610970613474937,1.0677250389417452,1.0610970613474948,0.3818824983433252,unconstrained_1to1,0.12008861479512276,0.11783865207811497,1000,30000,0.5,results\unconstrained_1to1_beta1_3.csv,0.8558047755379831,0.9982169472532195,0.9991050408111872,0.1426665537056951,0.14241217171523643,2,2.6999041438102722e-06,0.06561129924375564,0.010918199899606407,0.07652949914336205,0.07725269999355078,0.07666619902011007,3.639399966535469e-07,9.53000271692872e-05,1.3699987903237343e-05,5.449994932860136e-05,0.07732189993839711,3.869994543492794e-05,1.740311624351662,0.0843316345954842,0.08208167187847644
1.0,0.032033914893850546,1,datasets_sb01.npz,1.4345316897936968,1.437987842748503,1.4345316897936922,0.818588385506077,unconstrained_1to1,0.09875732874238635,0.09735877230637804,1000,30000,0.5,results\unconstrained_1to1_beta1_3.csv,0.8568271241221327,0.9978508668008568,0.9988264026322904,0.14132747424557635,0.1410237426787241,3,3.100023604929447e-06,0.06036090129055083,0.009934699744917452,0.07029560103546828,0.07098010007757694,0.07044700102414936,3.3115665816391507e-07,0.0001194999786093831,1.209997572004795e-05,7.029995322227478e-05,0.07106350001413375,2.8799986466765404e-05,2.0504749940813167,0.06669137993364196,0.06529282349763366
1.0,0.03549622595759136,1,datasets_sb01.npz,0.9960357122502669,1.0025960357626083,0.9960357122502617,0.3622999586564175,unconstrained_1to1,0.10454524296729595,0.10458549111044968,1000,30000,0.5,results\unconstrained_1to1_beta1_3.csv,0.8531868516800608,0.9979247746897141,0.9990355582886786,0.1450389114296283,0.1447379230096532,4,2.400018274784088e-06,0.05640699970535934,0.009569101966917515,0.06597610167227685,0.06660630006808788,0.06611330166924745,3.1897006556391714e-07,0.0001039999770000577,9.899958968162537e-06,5.3699943237006664e-05,0.06667059997562319,3.0800001695752144e-05,1.6297714658441163,0.06901352078374699,0.06905376892690072
1.0,0.02844973240419607,1,datasets_sb01.npz,0.9994260380478219,1.0038393447182579,0.9994260380478172,0.42965480054251115,unconstrained_1to1,0.08450626381932873,0.08421994462335194,1000,30000,0.5,results\unconstrained_1to1_beta1_3.csv,0.85632314186001,0.9979756966871026,0.9991079907388472,0.14193988420492085,0.14165255482709255,5,2.400018274784088e-06,0.05626179988030344,0.009306799387559295,0.06556859926786274,0.06619579996913671,0.06570159923285246,3.102266462519765e-07,0.00010379997547715902,9.199953638017178e-06,4.900002386420965e-05,0.06625489995349199,2.6799971237778664e-05,1.5691972755531327,0.056028081682728464,0.05574176248675169
1.0,0.040042030111108344,1,datasets_sb01.npz,0.9564137361176697,0.9596048927782576,0.9564137361176666,0.2855649169487052,unconstrained_1to1,0.11714861989285555,0.11658074243687216,1000,30000,0.5,results\unconstrained_1to1_beta1_3.csv,0.8557846029302022,0.9980155142046013,0.9991865541439385,0.14251372774275392,0.1422309112743991,6,2.900022082030773e-06,0.056966499891132116,0.009467799682170153,0.06643429957330227,0.06706720008514822,0.06656639964785427,3.155933227390051e-07,0.00010359997395426035,7.999944500625134e-06,4.5900000259280205e-05,0.06712180003523827,2.5600078515708447e-05,1.627262555286634,0.0770665477516361,0.07649867029565272
1.0,0.03450662095995787,1,datasets_sb01.npz,1.351938882415494,1.356238219845464,1.3519388824154934,0.6816996913644409,unconstrained_1to1,0.1169358010258148,0.11416054082066651,1000,30000,0.5,results\unconstrained_1to1_beta1_3.csv,0.8562027658243034,0.998190183204772,0.9992378541472617,0.14224485450719054,0.1419874173804687,7,2.400018274784088e-06,0.05771680059842765,0.009571400354616344,0.067288200953044,0.06791410001460463,0.06741020106710494,3.1904667848721145e-07,9.460002183914185e-05,7.999944500625134e-06,4.309997893869877e-05,0.0679658999433741,2.5000073947012424e-05,2.0221780734665473,0.08239467344489697,0.0796194132397487
1.0,0.023796897289131865,1,datasets_sb01.npz,0.9673132584167476,0.9639614561265185,0.967313258416743,0.36146353719844726,unconstrained_1to1,0.09554713783327061,0.09575420256531131,1000,30000,0.5,results\unconstrained_1to1_beta1_3.csv,0.8552283258340339,0.9980878478216106,0.9992100079747679,0.1431332144754359,0.14285952198757682,8,2.300017513334751e-06,0.05657839961349964,0.009451000252738595,0.06602939986623824,0.06665689998771995,0.0661559000145644,3.1503334175795317e-07,9.850005153566599e-05,9.70007386058569e-06,4.2199972085654736e-05,0.06670960003975779,2.5700079277157784e-05,1.5731629796350481,0.07172644364684962,0.07193350837889032
1.0,0.037890942080564455,1,datasets_sb01.npz,1.2146676173353292,1.221038604069009,1.2146676173353277,0.542904997519953,unconstrained_1to1,0.11746798661526905,0.11777221916092692,1000,30000,0.5,results\unconstrained_1to1_beta1_3.csv,0.8538362886339627,0.9980721606741556,0.9990545057596272,0.14451447272386375,0.14423587204019303,9,2.599903382360935e-06,0.05722240044269711,0.009666399681009352,0.06688880012370646,0.06751970003824681,0.06701800005976111,3.2221332270031176e-07,9.650003630667925e-05,8.899951353669167e-06,5.439994856715202e-05,0.06758359994273633,3.0099996365606785e-05,1.8864302371507056,0.07953915359262405,0.07984338613828192
1.0,0.040589464054186224,1,datasets_sb01.npz,1.266132210041716,1.2698177101533499,1.2661322100417152,0.6147580351119396,unconstrained_1to1,0.11044572984315053,0.10975916030171931,1000,30000,0.5,results\unconstrained_1to1_beta1_3.csv,0.8599052875046628,0.9974512064561878,0.998918081354445,0.13789739093123907,0.13754591895152496,10,2.9999064281582832e-06,0.06376429973170161,0.010199401411227882,0.0739637011429295,0.07469369994942099,0.07415270106866956,3.399800470409294e-07,0.00015550001990050077,8.600065484642982e-06,7.129996083676815e-05,0.0747745999833569,3.0499999411404133e-05,1.9175063849714924,0.06981567632491012,0.0691291067834789
1.0,0.040443944349464085,1,datasets_sb01.npz,1.117785578901871,1.120708149076619,1.1177855789018671,0.46210169259523326,unconstrained_1to1,0.11191205715383584,0.111912842274482,1000,30000,0.5,results\unconstrained_1to1_beta1_3.csv,0.856576082321106,0.9980510645837503,0.9990510704273748,0.14175124628683008,0.14147498226264416,11,2.8999056667089462e-06,0.06263010203838348,0.01034419797360897,0.07297430001199245,0.07369739993009716,0.07311679993290454,3.4480659912029903e-07,0.0001078000059351325,1.0400079190731049e-05,5.909998435527086e-05,0.07376739999745041,3.1800009310245514e-05,1.7734694652085086,0.07142766886002229,0.07142845398066845
1.0,0.032240347778789764,1,datasets_sb01.npz,1.1165681603893427,1.121537186884944,1.116568160389344,0.509407377820404,unconstrained_1to1,0.09596111409041183,0.09498616676509647,1000,30000,0.5,results\unconstrained_1to1_beta1_3.csv,0.8643269919795833,0.9980584768098144,0.9990373432732049,0.13399163269239425,0.13373148483023112,12,3.00002284348011e-06,0.06806799827609211,0.010531702195294201,0.07859970047138631,0.07928730000276119,0.07875260047148913,3.5105673984314003e-07,0.00011869997251778841,9.200070053339005e-06,6.639992352575064e-05,0.07936370000243187,3.120000474154949e-05,1.7237289429582814,0.06368852596384328,0.06271357863852792
1.0,0.03561488650591525,1,datasets_sb01.npz,1.112674464502469,1.1162213947513888,1.1126744645024609,0.4499107627311837,unconstrained_1to1,0.11434186911328026,0.11399923919279584,1000,30000,0.5,results\unconstrained_1to1_beta1_3.csv,0.8632755023763297,0.9982238928948363,0.9991415161953048,0.13518849977349068,0.13494839051850654,13,3.100023604929447e-06,0.07261579961050302,0.01135139970574528,0.0839671993162483,0.08472770010121167,0.08411659940611571,3.783799901915093e-07,0.0001105000264942646,9.399955160915852e-06,6.269989535212517e-05,0.08480049995705485,3.5800039768218994e-05,1.7754381662737546,0.07869136772085909,0.07834873780037467
1.0,0.03147038976660721,1,datasets_sb01.npz,0.7249776109911058,0.7234090157059427,0.7249776109911018,0.08774405370789451,unconstrained_1to1,0.1057024694210266,0.10491402415479756,1000,30000,0.5,results\unconstrained_1to1_beta1_3.csv,0.8587154736668783,0.998207652405116,0.9991307782163835,0.13974264613393866,0.13949217873823777,14,3.00002284348011e-06,0.07124229916371405,0.01157280127517879,0.08281510043889284,0.08356529998127371,0.08296380040701479,3.8576004250595965e-07,0.00011389993596822023,1.079996582120657e-05,6.130000110715628e-05,0.08363799995277077,3.1800009310245514e-05,1.362211168274317,0.07420060926465277,0.07341216399842374
