beta,bwVar,covers_true,dataset_file,est,est_med,estdiff,ll,method,miVar,miVarpaired,n_mcmc,n_sampling_draws,pstar,result_file,share_estimation_in_method,share_mcmc_in_method,share_method_in_sim,share_sampling_in_mcmc,share_sampling_in_method,sim,time_allocation,time_mcmc_estimation,time_mcmc_sampling,time_mcmc_total,time_method_call,time_method_total,time_per_sampling_draw,time_setup,time_sim_post,time_sim_prep,time_sim_total,time_summary,ul,wiVar,wiVarpaired
1.0,0.024978537051989158,1,datasets_sb01.npz,0.8763279910864594,0.8821930607230604,0.8763279910864555,0.30161096758183126,unconstrained_1to1,0.08597971082518203,0.08549179376037187,1000,30000,0.5,results\unconstrained_1to1_beta1_profile_2.csv,0.8723329165496752,0.9971320591646781,0.9973084210018835,0.12515808860819325,0.12479914261500297,1,5.200039595365524e-06,0.07887049776036292,0.01128350233193487,0.09015400009229779,0.09100199991371483,0.09041330008767545,3.76116744397829e-07,0.0002101999707520008,2.4400069378316402e-05,0.0002194000408053398,0.09124760003760457,4.3899985030293465e-05,1.4510450145910876,0.06097619523614089,0.06048827817133073
1.0,0.03572125894069785,1,datasets_sb01.npz,1.0610970613474937,1.0677250389417452,1.0610970613474948,0.3818824983433252,unconstrained_1to1,0.12008861479512276,0.11783865207811497,1000,30000,0.5,results\unconstrained_1to1_beta1_profile_2.csv,0.8568189178465285,0.9978728364019757,0.9987892845207976,0.14135460292119434,0.14105391855544722,2,2.900022082030773e-06,0.05727800168097019,0.009429397992789745,0.06670739967375994,0.06731650000438094,0.066849599708803,3.1431326642632487e-07,0.00011549994815140963,9.899958968162537e-06,7.079995702952147e-05,0.06739809992723167,2.380006480962038e-05,1.740311624351662,0.0843316345954842,0.08208167187847644
1.0,0.032033914893850546,1,datasets_sb01.npz,1.4345316897936968,1.437987842748503,1.4345316897936922,0.818588385506077,unconstrained_1to1,0.09875732874238635,0.09735877230637804,1000,30000,0.5,results\unconstrained_1to1_beta1_profile_2.csv,0.8610001755331406,0.998098758950483,0.9991176278614691,0.13735973738861657,0.13709858341734246,3,2.00001522898674e-06,0.0547057994408533,0.008710901369340718,0.06341670081019402,0.06397540005855262,0.06353750091511756,2.9036337897802393e-07,9.34000127017498e-05,9.999959729611874e-06,4.579999949783087e-05,0.06403190002311021,2.5400076992809772e-05,2.0504749940813167,0.06669137993364196,0.06529282349763366
1.0,0.03549622595759136,1,datasets_sb01.npz,0.9960357122502669,1.0025960357626083,0.9960357122502617,0.3622999586564175,unconstrained_1to1,0.10454524296729595,0.10458549111044968,1000,30000,0.5,results\unconstrained_1to1_beta1_profile_2.csv,0.8601919129652832,0.9980996718594951,0.9990541934562955,0.13817032785642025,0.13790775889421192,4,2.300017513334751e-06,0.0571249999338761,0.00915839895606041,0.0662833988899365,0.06686360004823655,0.066409598919563,3.052799652020137e-07,9.220000356435776e-05,1.0699965059757233e-05,5.179992876946926e-05,0.06692689994815737,3.170000854879618e-05,1.6297714658441163,0.06901352078374699,0.06905376892690072
1.0,0.02844973240419607,1,datasets_sb01.npz,0.9994260380478219,1.0038393447182579,0.9994260380478172,0.42965480054251115,unconstrained_1to1,0.08450626381932873,0.08421994462335194,1000,30000,0.5,results\unconstrained_1to1_beta1_profile_2.csv,0.8602029281764733,0.9981748045640404,0.9990886032321279,0.13822416249809794,0.13797187638756706,5,2.600019797682762e-06,0.060325601254589856,0.009675898705609143,0.070001499960199,0.07059639994986355,0.07012950000353158,3.2252995685363807e-07,9.990006219595671e-05,1.009996049106121e-05,5.330005660653114e-05,0.07066079997457564,2.5499961338937283e-05,1.5691972755531327,0.056028081682728464,0.05574176248675169
1.0,0.040042030111108344,1,datasets_sb01.npz,0.9564137361176697,0.9596048927782576,0.9564137361176666,0.2855649169487052,unconstrained_1to1,0.11714861989285555,0.11658074243687216,1000,30000,0.5,results\unconstrained_1to1_beta1_profile_2.csv,0.8636230310958083,0.998293196533333,0.9990830610654506,0.13490041393167812,0.13467016543752472,6,2.499902620911598e-06,0.06754939828533679,0.010533402091823518,0.07808280037716031,0.07877709995955229,0.07821630022954196,3.5111340306078397e-07,9.310001041740179e-05,1.910002902150154e-05,5.230004899203777e-05,0.07884940004441887,3.7899939343333244e-05,1.627262555286634,0.0770665477516361,0.07649867029565272
1.0,0.03450662095995787,1,datasets_sb01.npz,1.351938882415494,1.356238219845464,1.3519388824154934,0.6816996913644409,unconstrained_1to1,0.1169358010258148,0.11416054082066651,1000,30000,0.5,results\unconstrained_1to1_beta1_profile_2.csv,0.857877984191051,0.9976202412765154,0.9983896606480837,0.1400756032241845,0.13974225708546437,7,3.00002284348011e-06,0.059733100002631545,0.00973009958397597,0.06946319958660752,0.07012050005141646,0.06962889956776053,3.24336652799199e-07,0.00013589998707175255,1.079996582120657e-05,0.00010139995720237494,0.07023359998129308,2.6799971237778664e-05,2.0221780734665473,0.08239467344489697,0.0796194132397487
1.0,0.023796897289131865,1,datasets_sb01.npz,0.9673132584167476,0.9639614561265185,0.967313258416743,0.36146353719844726,unconstrained_1to1,0.09554713783327061,0.09575420256531131,1000,30000,0.5,results\unconstrained_1to1_beta1_profile_2.csv,0.8561080887273481,0.9979956436861639,0.9990334251505931,0.1421725193456202,0.14188755495881583,8,2.500019036233425e-06,0.05685019982047379,0.009422099799849093,0.06627229962032288,0.06687260000035167,0.06640539970248938,3.140699933283031e-07,0.00010459998156875372,1.109996810555458e-05,5.279993638396263e-05,0.06693729991093278,2.6000081561505795e-05,1.5731629796350481,0.07172644364684962,0.07193350837889032
1.0,0.037890942080564455,1,datasets_sb01.npz,1.2146676173353292,1.221038604069009,1.2146676173353277,0.542904997519953,unconstrained_1to1,0.11746798661526905,0.11777221916092692,1000,30000,0.5,results\unconstrained_1to1_beta1_profile_2.csv,0.8648767928405598,0.9987132152875439,0.9993178611020392,0.13400886300323023,0.13383642244698404,9,2.600019797682762e-06,0.08764479868113995,0.013562702108174562,0.10120750078931451,0.10196250001899898,0.10133790085092187,4.520900702724854e-07,9.830005001276731e-05,1.00000761449337e-05,5.8999983593821526e-05,0.10203210008330643,2.9499991796910763e-05,1.8864302371507056,0.07953915359262405,0.07984338613828192
1.0,0.040589464054186224,1,datasets_sb01.npz,1.266132210041716,1.2698177101533499,1.2661322100417152,0.6147580351119396,unconstrained_1to1,0.11044572984315053,0.10975916030171931,1000,30000,0.5,results\unconstrained_1to1_beta1_profile_2.csv,0.8623085080192769,0.9979370263463826,0.99899631869898,0.13590889479636287,0.1356285183271057,10,2.900022082030773e-06,0.07222920190542936,0.011360597214661539,0.0835897991200909,0.08430470002349466,0.08376259915530682,3.7868657382205127e-07,0.00013970001600682735,9.500072337687016e-06,7.449998520314693e-05,0.08438940008636564,3.0199997127056122e-05,1.9175063849714924,0.06981567632491012,0.0691291067834789
1.0,0.040443944349464085,1,datasets_sb01.npz,1.117785578901871,1.120708149076619,1.1177855789018671,0.46210169259523326,unconstrained_1to1,0.11191205715383584,0.111912842274482,1000,30000,0.5,results\unconstrained_1to1_beta1_profile_2.csv,0.8574889131210556,0.9983760528733528,0.9992026403455406,0.14111630517060209,0.14088713975229722,11,2.500019036233425e-06,0.07270940172020346,0.011946299811825156,0.08465570153202862,0.08533869998063892,0.08479340153280646,3.982099937275052e-07,0.00010579999070614576,9.399955160915852e-06,5.7999975979328156e-05,0.08540679991710931,2.9399991035461426e-05,1.7734694652085086,0.07142766886002229,0.07142845398066845
1.0,0.032240347778789764,1,datasets_sb01.npz,1.1165681603893427,1.121537186884944,1.116568160389344,0.509407377820404,unconstrained_1to1,0.09596111409041183,0.09498616676509647,1000,30000,0.5,results\unconstrained_1to1_beta1_profile_2.csv,0.859320141059289,0.998063444065219,0.9984547659781653,0.13901250850428276,0.13874330300593,12,2.800021320581436e-06,0.0690010015387088,0.011140698799863458,0.08014170033857226,0.08083359990268946,0.08029720035847276,3.713566266621153e-07,0.00012310000602155924,9.70007386058569e-06,0.00011470005847513676,0.08095870004035532,2.95999925583601e-05,1.7237289429582814,0.06368852596384328,0.06271357863852792
